id;beschrijving;datumgeplaatst;herkomst;key;keydoos;keymagazijnlocatie;projectcd;uitgeleend
1;safely shrimp irradiate;2024-05-05;but fooey fatal;for;lively;queasy howl;indoctrinate;false
2;than;2024-05-05;concerning fooey coil;downstairs judicious;yet unlike cheery;coast prickly;cautiously clatter;true
3;brr since;2024-05-05;needle;gee meanwhile wisely;although;fully mop unfinished;mooch weekly;true
4;after;2024-05-05;bah;milky labour disgust;excavate hm slowly;rumor although finally;bell carom calmly;false
5;towards ouch;2024-05-06;besides;wherever gah;but ew;legitimate;oh;false
6;quizzically;2024-05-06;forenenst ah intermix;since;distorted;serious although;harmful ecumenist;true
7;sans charming;2024-05-06;wash;gah instead;delightfully;furthermore;baa;false
8;as;2024-05-05;instead however wetly;editorialise;rewarding whether sheepishly;ah;profess queasily;true
9;dual faithfully;2024-05-06;wearily underneath;stay keenly;calendar;breathalyse boss inequality;wisely;true
10;mast;2024-05-05;how;within;saw hash;knavishly gadzooks;focused cow;false
