id;adresbinnenland;adresbuitenland;adrescorrespondentie;emailadres;faxnummer;identificatie;kvknummer;naam;rechtsvorm;rekeningnummer;telefoonnummer
1;fairly;for;slate;likewise;elementary;across;gosh wakeboard close;consonant;who;polish;oversight unhinge
2;furthermore;quaintly along today;eek climate;yowza register nervously;as;reinvest handlebar woot;outside ugh;bewitched silky properly;game doting;incidentally truly meh;vice but bobble
3;zowie;briskly wobbly clumsy;purchase;whoever;successfully;yahoo cabana;upon reassuringly;really;powerfully searchingly rarely;with till;hungrily humidity
4;race under sadly;excite regime;film queasily till;literature uh-huh;throughout;than briskly;below as oh;hinder;braid;paddle repeatedly cavernous;turnover
5;selfishly textual;drop lob hm;plus slope;monthly from an;cheep ginseng old-fa;gently um boring;pfft;uh-huh boohoo greatly;hence ugh idiom;into supposing value;yum apud
6;although kibitz baggy;price offensively;dawdle;unless afore;even reorganization ;per hairy exhausted;cacao mmm plastic;mostly questionnaire;quietly elderberry citron;on;after
7;psst aha stimulating;phooey;throughout after poll;colorfully;er digger;whether;nor amongst;motivate acidly orient;inasmuch incidentally;yesterday;huzzah till
8;below;quit aboard huzzah;misfit;shyly than;passionate bleakly g;although whoa serious;scrounge;flat operation outside;curiously befog supposing;soon;enforcement counsell
9;unto meteor;aha;elderly acidly;venerate;of who till;upsell altruistic;drat;er;since;onto spiffy astride;highly meh
10;and;except;spicy instead astride;hmph;numeracy;even elegantly;to;realistic oversleep;scarcely;enthusiastically;hungrily messy spani
