id;datumbegingeldigheidoverigbouwwerk;datumeindegeldigheidoverigbouwwerk;geometrieoverigbouwwerk;identificatieoverigbouwwerk;lod_0_geometrieoverigbouwwerk;lod_1_geometrieoverigbouwwerk;lod_2_geometrieoverigbouwwerk;lod_3_geometrieoverigbouwwerk;relatievehoogteliggingoverigbouwwerk;statusoverigbouwwerk
1;2024-05-06;2024-05-05;pish parka lazy;pulverise;gap from occasional;boohoo gadzooks;er;pace annually hacienda;remains shape;garrotte skew indeed
2;2024-05-06;2024-05-06;notable yum;awkward since;although um;angrily;lipid despite;yum supplement;snakebite legal;chive
3;2024-05-06;2024-05-06;whereas partially;perturb;tick;repeat beyond;normalise geez separately;though;that;where recoup
4;2024-05-06;2024-05-06;into solidly;now;before;likewise;whether which artistic;freeze steady failing;circadian;yippee sharply loosely
5;2024-05-05;2024-05-06;watercress fooey;ah;knotty;immaterial witness;within;pardon ack;huzzah;biodegradable regularly
6;2024-05-05;2024-05-06;once deliberately untrue;mostly boohoo graduate;sadden considering unto;yippee nobble;down blah zowie;through;incidentally when;above brilliant wretched
7;2024-05-06;2024-05-05;since;enraged what;per count sudden;often whose;gadzooks down;woolens;tan;whose whereas
8;2024-05-06;2024-05-06;patent;comb;boohoo until;save blank what;yowza amid;topic likewise;depreciate astride briefly;politely
9;2024-05-05;2024-05-05;boohoo;whose by;minus usable pish;opposite mmm before;condition;boohoo aha;readily venti duh;pfft
10;2024-05-05;2024-05-06;er boo enzyme;bony;hotel urgently successfully;instead an for;gosh provided incidentally;raze clean harmonise;furniture real over;whether unpleasant apropos
