id;aangemaaktdoor;bedragbtw;datumaanmaak;datummutatie;geaccordeerd;geaccordeerddoor;geaccordeerdop;geexporteerd;gemuteerddoor;omschrijving;totaalbedrag;totaalbedraginclusief;vorderingnummer
1;correctly interesting;zowie because;2024-05-06;2024-05-06;on cooperative stagnate;failing;2024-05-06;squeaky eschew grizzled;zowie sweetly likewise;carelessly;ha;hospitalise pish horsewhip;for neuropsychiatry
2;threadbare with;sentence till;2024-05-06;2024-05-05;even;yahoo whenever;2024-05-06;prevaricate neaten pace;unsung wisely ouch;stables;fox employee recent;ouch within;sugar
3;innocently marketer;blight anorak;2024-05-05;2024-05-06;flinch however;um;2024-05-05;onto;merry despite;sedately amid;as worriedly;lest rhinoceros yippee;er inasmuch psst
4;indeed eddy;amidst aside;2024-05-05;2024-05-06;short handsome inverse;yuck than;2024-05-05;um unused glossy;mortal;concerning midst indeed;yowza;by tutor;kiddingly
5;softly;honestly;2024-05-06;2024-05-05;yahoo;huzzah yahoo;2024-05-06;pish novel unselfish;geez isolation boohoo;scarcely;downchange few;supposing how;ruffle which compile
6;icky when phooey;what wholly fortunate;2024-05-06;2024-05-05;lest thoroughly;hm concerning coexist;2024-05-05;promise;although;poorly knowing;portray;batten against who;nor discount
7;focused next glum;pitiful;2024-05-05;2024-05-05;hourly after burn;bifurcate finish;2024-05-06;mistake cope rightfully;critical;continually;wedge gosh;tiger sore;phew rendezvous macaroon
8;so;ew traumatic likewise;2024-05-06;2024-05-06;qua luminous make;whether foolishly strictly;2024-05-06;incidentally;whispering secularise;whereas;slight sick;tickle even scholarly;wherever faithfully but
9;boo alpenhorn access;aside stipulate of;2024-05-06;2024-05-06;lovingly abnormally symbolise;anenst near;2024-05-05;land;gadzooks ornery;yowza;route lanky;whoa scatter clearly;unto
10;wearily well hourly;highball reasonable fully;2024-05-06;2024-05-05;alive like patch;deeply advertisement;2024-05-05;through knavishly persuade;rightfully concerning;apropos valance savings;yippee excluding sibling;without;mmm anenst fully
