id;adres;bouwjaar;gemeentelijk;geschattekostenperjaar;gymzaal;klokurenonderwijs;klokurenverenigingen;locatie;onderhoudsniveau;onderhoudsstatus;sporthal;vloeroppervlakte
1;inasmuch assimilate;hearty preface;true;31042.13;nor inwardly barring;extemporize carom;sternly;and yet hm;who pantyhose gosh;suction;ack set;safeguard boohoo
2;demobilize triumphantly farm;underneath finally;false;23723.3;vague nurse;impale above intersect;usually barring with;save;portly and plump;apropos;oof gosh;despair
3;quietly every;guzzle occasional;true;25387.63;regularly;politician drat vague;amidst optimistically;scarcely;powerful phew paint;delightfully;icicle;generously
4;for;circa thrifty;false;15289.49;agonizing ascend provided;trifling;firm within craft;except optimize;macaroni;after more luxurious;and gah polo;steel nibble
5;repatriate promptly;naturally;false;8125.37;overview flail brr;soft where;gladly;given around;sheepishly gracefully;leveret save;shadowy pronunciation;salon drat
6;sans how finesse;evaluator customize obediently;false;5950.39;negate though;anxiously;wherever plume since;ancient riddle knowingly;fitting;safely gadzooks;between;across
7;above travel warmly;govern uh-huh truthfully;false;18805.75;wicked;short drat ugh;materialize;unfortunately atheist;debug pfft;pitcher;bud unto discredit;ack
8;glorious across graffiti;before multimedia;true;13947.61;toward weakly concerning;phew;uh-huh likely;unethically;cleverly meh;however individualize;woot brr;once concrete ha
9;seldom till;woot;true;4130.66;yahoo considerate;boo colorfully;snarl blah advanced;fondly when;somebody while chubby;infarction;atop why;ha tipple
10;kiddingly um because;soon valiantly;false;2244.76;sad;psst crush hmph;outside unnecessarily;tarragon dear meh;food;shine hm like;drake amid astride;winding beautifully far
