id;datumbesluit;datumeinde;datumstart;huisnummer;postcode;referentienummer;straat;titel;isvastgelegdin_document_id
1;2024-05-05;grave underneath setting;past sweetly;plastic;sternly against;excluding;obediently driving;furthermore;1
2;2024-05-06;till enormously;whenever;naturally;once;um queasily;side;colorful bun;2
3;2024-05-05;anti heat given;what yearly giggle;colorfully;tame chew mussel;crooked total blah;unless mod;vigilant anxious meh;3
4;2024-05-05;whoever including asterisk;ew;prize;inasmuch international dethrone;councilor ugh pish;rat the;ah up duh;4
5;2024-05-05;canon hide;phew;broker shallow;brr;shakily where likely;pace bah;lunch sustain;5
6;2024-05-06;famous story;lightly given affectionate;cultivate even;next;coolly;half furthermore;conduct;6
7;2024-05-06;oddly supposing perfectly;unless excepting;candid eminent;naturally chauvinist;yearly centre;for progress athwart;as afore;7
8;2024-05-06;yowza;crown;abaft phew;trellis sensitize;ugh fervently;even buyer;though beware;8
9;2024-05-06;now off pitiful;now astride quietly;stiffen;since;drat poor;apud;ick carom usually;9
10;2024-05-05;assassination;an;wither slow;providence;enfranchise ducks;duh whether almost;valid opposite past;10
