id;datumbegingeldigheid;datumeinde;datumeindegeldigheid;datumingang;geconstateerd;geometrie;huisnummerrangeevenenonevennummers;huisnummerrangeevennummers;huisnummerrangeonevennummers;identificatie;inonderzoek;labelnaam;naamopenbareruimte;status;straatcode;straatnaam;typeopenbareruimte;versie;wegsegment
1;2024-05-06;2024-05-05;2024-05-06;2024-05-06;true;near;ad;though as gee;but compensate drat;evergreen;true;lever brr zowie;pfft properly;before but;spellcheck sans bleak;since;precious amid zowie;last initial;jam
2;2024-05-06;2024-05-05;2024-05-06;2024-05-05;false;oof consequently;plunder peal lime;supposing;up outlive;when sedate;true;whose apropos;predominate whereas;zowie pfft dish;delightfully upbeat;urgently;along ouch;lasting brave meanwhile;hence because bark
3;2024-05-06;2024-05-05;2024-05-05;2024-05-05;false;tamale pleasure;cartilage around;zowie;adore;indeed generously while;false;lest that;incidentally;successfully yet now;angrily;shiny average;zowie abandoned itemize;schoolhouse oily;happily caring infest
4;2024-05-05;2024-05-06;2024-05-05;2024-05-06;true;punch sally;ick equatorial;whirlwind blah;beyond within concerning;circa fluster within;true;praises larder;which;interview;impart brr;or briskly seldom;blame yowza feisty;linear favorite wherever;chat jubilantly
5;2024-05-05;2024-05-06;2024-05-05;2024-05-05;false;viciously;tone brr;ink whether;finally;throughout judgementally;false;unless admission;successfully vast rod;worth;molasses;when jaded;taste;till knavishly;revolt notwithstanding yowza
6;2024-05-05;2024-05-05;2024-05-06;2024-05-06;false;consequently;blah unnecessarily;cannon;huzzah quickly barbeque;crowded;false;spume;teenager;what spanish;ricochet demur at;thoroughly deliberate gee;well-worn;cut rainmaker aha;always
7;2024-05-05;2024-05-05;2024-05-05;2024-05-06;true;collide false absent;endorse under toil;midst separately deconsecrate;whenever expose fortunately;diligent;true;till boutique;premeditation;repeatedly that;sunbeam;reassuringly;dentist quizzical;yum;silently turbulent quirky
8;2024-05-06;2024-05-06;2024-05-06;2024-05-05;true;evenly imperfect;incidentally mockingly;upbeat;but belabour;lung when brooch;false;cuff willfully mantle;traverse reincarnate organising;lined astride selfishly;spectacles tremendously fast;youthfully now;ack chaplain;fondly;until
9;2024-05-06;2024-05-05;2024-05-06;2024-05-06;false;good-natured beside astride;pish;reasoning along;aha beautifully bronchitis;and;false;ah;jol elaborate devastation;whoever;unethically artichoke;well-made oof tragedy;searchingly;drat handle underneath;lustrous regular
10;2024-05-06;2024-05-06;2024-05-06;2024-05-05;true;suspiciously dandle;zowie whoa;through;acidly;sorrel fervently;true;boohoo efficiency;quintessential homestead;gadzooks;whoa;across below;more coleslaw;per as;judgementally bowlful
