id;eindtijdgepland;notitie;starttijdgepland;tijdaangemaakt;tijdsduurgepland;toelichting;wachttijdnastartafspraak;wachttijdtotaal;wachttijdvoorstartafspraak;werkelijketijdsduur
1;yum;tensely;aw clarify;though sheepishly;for upon;kindheartedly yippee;dedicate councilman yum;ick probable provided;ha gosh;whether
2;hm or;forage;new initialise;under yearningly ugh;stalk positively;zowie;nor appearance;awful;campaigning;off
3;because holder;oddly terrorize barring;crooked riding concerning;about yesterday probability;below;whereas precipitate slowly;ha step-uncle;atop along;ha rabbit delegate;down fooey
4;rout geez sometimes;fully;verb heavily excepting;a;pharmacopoeia;apropos ouch what;junior;town rancher mmm;effect ouch quality;uh-huh
5;excitedly ah;by oof phooey;change curiously;huzzah pep;well regularly excitedly;circa collect pike;following;where;of;amongst agile
6;recompense inauguration;frantically;circular tank unhitch;barrage;indeed;sledge yum even;failing freely beneath;pro;angrily;nearly atop yowza
7;impoverish than until;hence responsibility tremendously;botch beyond;stigmatize as incidentally;pink yippee;belabour zowie;yesterday ouch barring;huzzah far versus;catnap generally;blaze regarding gee
8;yet mammoth;ack yuck demote;accost since;interrelate;deeply pfft equal;bah aboard throughout;despite bah colonize;but;oh flit instead;etch halt
9;diligent because;between;to;anodise since speedily;several awkwardly clearly;decommission down;regale huzzah carefully;synod doting meanwhile;after conciliate toward;merry excluding provide
10;now sunlamp;dabble unexpectedly wherever;cultivate whose ugh;reverse lead;likely;the considering excluding;versus;curly;barring;now near
