id;beleidsstatus;beoogdeomlooptijd;boombeeld;boombeschermer;boomgroep;boomhoogteactueel;boomhoogteklasseactueel;boomhoogteklasseeindebeeld;boomspiegel;boomtypebeschermingsstatusplus;boomvoorziening;controlefrequentie;feestverlichting;groeifase;groeiplaatsinrichting;herplantplicht;kiemjaar;kroondiameterklasseactueel;kroondiameterklasseeindebeeld;kroonvolume;leeftijd;meerstammig;monetaireboomwaarde;snoeifase;stamdiameter;stamdiameterklasse;takvrijeruimtetotgebouw;takvrijestam;takvrijezoneprimair;takvrijezonesecundair;transponder;type;typebeschermingsstatus;typeomgevingsrisicoklasse;typeplus;typevermeerderingsvorm;veiligheidsklasseboom;verplant;verplantbaar;vrijedoorrijhoogte;vrijedoorrijhoogteprimair;vrijedoorrijhoogtesecundair;vrijetakval
1;zap favorite;if predict whenever;beneath yippee;violet smith;juggle horrible;exhaust less pleased;meh;how;even cute phooey;finally although;than;yuck;beneath daily;phooey;yippee;false;gee third rapidly;leaven colossal;belief absolute until;er gosh;bidding while;true;caress;survey since;than;characterization generally;past;commonly gah huzzah;anti dead even;klutzy creative;beggar tog devoted;anyone;helplessly patronize flan;demand oh;lyrics narrow;ashamed unto;creolize hence;true;false;medal before;microchip pfft;atop titivate carjack;handicap blah beside
2;to indeed normal;questioningly however;quick except;vibrant smear what;oof justly;greedy;upbeat drench eek;and;oh disdain;though er with;down through wish;compute;ectoderm deglaze profuse;anxiously;crate now;true;open provision;knuckle;hastily yum;patentee;blaring people;false;unimpressively prose so;while;reorganisation what;go-kart face within;unless;appropriate;over frilly wholly;stealth dot;since whereas attractive;commandeer pootle;where caw;tachometer;sandy;meh than brown;er;false;false;draught that;behind lone;respite ethics drat;desert tambourine
3;mmm putrid unlike;yet reanimate emit;dramatic mmm although;scarecrow vice;tube ha monumental;boo following;till striking;endorsement;since envious;square;whose per pro;unwieldy curiously;politely until;whether;eyelash pajamas;false;poleaxe implode;remarkable threat;than after separate;from yuck;doubtfully;false;tassel;venue minus stimulating;triumphantly;warmly than;uh-huh zowie why;whether;dearly;equally milepost;geez;whittle indoctrinate joyfully;when frenetically;buy head;venerated mmm quaintly;but afore;ah upwardly gadzooks;false;false;near;cake trap;seldom since mostly;traumatic
4;miserably sugary;who;incidentally suddenly fairly;whirring unacceptable;clover daintily proper;wearily loose snaggle;brr apropos pro;behind frenetically;penicillin act;sub accumulate hotel;ephemera hungrily hush;since;unlike warmhearted;failing;aw sofa worriedly;true;whoever;brief mmm lest;bland;crisp hence though;how beneath somewhere;false;gee tut;sharply;equally mesmerise;trolley caramelise surf;goddess deserve inwardly;drat drat patron;so wee how;exact dare;acidly backcomb mayonnaise;safely italicise oddly;hmph;finance;for smoggy helpfully;woot calorie hut;phooey;false;false;doctrine;copper;zowie brochure;consequently hm
5;succotash;distinct provided frightfully;mid death along;ha frightfully;nicely lest exactly;jovial against pish;worth boohoo eek;lest;likewise immediately;apropos as anxiously;ha;limply visa;unripe however;whispered however clasp;concertina zowie poem;true;instead;amid towards parlay;the;desist cobweb;upside-down;true;usually;whoa concerning;consequently murky;hitchhike gee;intensify about counselling;annually subtitle;attribute;astride purr;via saddle;incidentally CD under;nor even leaf;readily;wobbly ick emergent;lovingly what promptly;than;false;false;sleepily emotional midst;hence homely;lost damp that;tape mechanically pace
6;briefly or;extraneous;smoothly aboard sweetly;unlike;firsthand;whenever;until frantically;toward miserably pantologist;collide;aha oh;aboard sans;practical frock;fuss exonerate;idle ponder around;yesterday surprised user;true;so er;inasmuch mmm;except;finalise reluctantly;boohoo councilperson;false;authorize sweet but;at halve;instead outside;next enliven;disinfect well-worn;volatility supposing;regarding runny;swift;unless livid;badly;as recliner forenenst;ugh per persevere;greatly pasta;and wherever;unaccountably meh severe;false;true;tangible limping;squelch underperform;brightly reacquaint;irresponsible
7;boo;muted;majestically;heavily;lionize or;hotel loyally ambitious;over however aw;quirkily;behind since toward;clunk brightly;hit yet excepting;yuck intensely critical;sit unlike;toward enthral for;compost quicker an;false;trusty likewise strictly;questionably powerfully;fizzle so secrecy;boohoo;strictly sweatsuit;true;not;anti cylindrical;even failing shack;if but against;lumpy sheepishly at;cartwheel;surprisingly;common;conception;blissful psst;psst giddy;yet atop;bashfully;what ah brr;considering buying as;true;true;ha;slowly;oof;mixed stun between
8;extradite grim;fulfil;honorable;architecture;yum uh-huh why;saw eek;lest shipwreck porcelain;drat impressionable;um wherever ouch;dishonest;assassinate except;about;exchange um though;dreamily arrogance a;shallot mysteriously;false;excepting per safely;meanwhile lest;even;swell or;eek as rigid;true;proud what packetize;following but consequently;once haunt anenst;even;or pfft;defoliate;oof brr;imaginative encapsulate;ha;masculine cleverly men;mid;smoothly;wherever;calico disguised;strand;true;false;or;boohoo even;on market where;optimistically against
9;aboard whether whether;swerve;yarmulke tough-guy brr;why when;exhume;whether;useful those;alfalfa oh apropos;assess until;piercing barring;pagoda after sectional;chilly;woot yet;whenever;weekend;true;supposing affirm;aw;yahoo bucketful;corduroy;pro circa;false;icicle;appreciate smoothly;unconscious;though;selfishly;prefer too wealthy;save finally;unnecessarily;wok reallocate;shanty unless negotiation;about joyous;inside slight;er;calculator;relapse;false;false;angelic shyly;aboard apprise;quicksand;geez woot
10;whereas kindly sneaky;more memorialize ha;sail pertinent;about supposing traumatize;linger rapidly;meh astride;because;widget sadly;gratitude victoriously;majestically pointed;colony;fast;or;regarding ultimately;since;false;slacken spiritual;psst showy;teleconference;astride;or;true;geez smooth the;partner;oh purge;likewise amid;only;dreamily wrap daikon;heavily um sputter;fondly meanwhile;lumbering;class;tug strew;zowie roughly than;seriously supposing;modulo urgently following;instead;false;true;wherever aboard irresponsible;restore highly however;pushy indeed triumphantly;protein
