id;activiteiten;adres;bagid;dossiernummer;intaketype;internnummer;kadastraleaanduiding;kenmerk;locatie;locatieomschrijving;toelichting
1;abaft round input;duh on despite;than palatable generalise;whereas;battery;duh mmm interfere;for wipe clef;um boastfully;ugh supposing link;safely than;redial pish woefully
2;breakthrough ocean woot;anti;regarding energize after;queasily;notwithstanding;pelt whether;authentic hm unbearably;nexus on;instantly lest;scarcely;abaft after from
3;chunder;fooey remainder loudly;lawful far lest;consequently seriously waste;last ew;off;exhume afore which;plus ugh;seriously;helmet even;inside athwart gah
4;bah;romaine eek migrant;compete;guilt;an;talent;between;as;reinscription;drafty;grid up
5;yearningly eek;woot delightfully beside;absent;unto;gah utterly;unknown but;school;unexpectedly unkempt;where crook jealously;daintily ill;aw trained
6;reboot hm consequently;under aluminum;what;impartial;pressurise;oof yieldingly well-lit;ick;vow activate;delicious above;assembly disastrous;toward
7;midst amid across;besides grab-bag;devoted considering worthwhile;without fleck during;pore meanwhile;vivacious geometry;rudely;furthermore;once autograph well-lit;in statute;ha
8;whereas;lest;around quirkily;wasting version forceful;paltry phew cupboard;partially phrase;if parrot composer;homestead speedily;aha;afore which;instead reissue
9;excluding;sentiment underneath;nutrition after faithfully;which pertain;metallic;pish giving;softly aha er;sic perfectly sea;daily;nuke though;celebrated blah atmosphere
10;esteemed gosh uh-huh;fuel gosh;from;heartfelt firebomb excepting;bounce whose clack;since tenderly;after;greedy;oddly publicity next;owe;the punctually
