id;aangemaaktdoor;activiteit;controleelement;controleniveau;datumaanmaak;datummutatie;diepte;fase;gemuteerddoor;resultaat;risico
1;audit;gee instead first;until like interpretation;polished usually considering;2024-05-05;2024-05-05;yum;parallelogram;stormy semantics;silently;tire lest
2;roommate operator;climb prize;worse conspirator gadzooks;whereas eek fooey;2024-05-05;2024-05-06;save abbreviation su;who;yahoo for;ethernet unexpectedly fowl;scornful mature
3;geez;barring bean untried;tiny;helplessly legislation;2024-05-05;2024-05-05;yowza;apud oof motor;below;speedily wherever submissive;agriculture even
4;digitalize gah;after design;knowing ephemeris vice;flat;2024-05-05;2024-05-05;bulky;integration once bli;ah;anxiety paragraph;nightclub
5;distance worst;where till;only midst defiantly;archaeology however;2024-05-06;2024-05-05;graceful impale gah;where wonderfully pl;ouch;ticket before;analog
6;yearningly desegregate;name aw;miserably romance yum;fire muffle before;2024-05-05;2024-05-05;gosh pfft;pish;loudly;comprehend dump yowza;than whoever
7;duh;worldly since;clear-cut like;explanation which at;2024-05-05;2024-05-05;forceful;as commercial;often where;about yet beam;gee yowza
8;where;especially;waltz bakery;phew contest;2024-05-06;2024-05-05;green;shrilly whether ew;dreamily reinterpret;briskly continually till;forenenst
9;and before why;flavor;evocation crazy;mark vet;2024-05-05;2024-05-05;capitulation travele;on mishit the;especially ah upbeat;leak immediately;inquisitively prune delectable
10;gadzooks;undercook;tremble which instead;fruit openly overtake;2024-05-06;2024-05-06;gasp really brim;madly;searchingly;gratefully more;swerve
