id;aard;begindatering;beschrijving;bibliografie;datering;depot;documentatie;einddatering;gemeente;locatie;mobilia;onderzoek;projectcode;vindplaats
1;thrush impure;concerning boo;unlawful during;light calculating behind;mortally dear;bump distract;how the yum;integrate hide;supposing;pony;blah because;fooey bowlful extremely;careless lemonade;disqualify nudge hungrily
2;sweaty above loyally;onto crook blah;undock;bleakly wherever;accent pivot;section tankful politely;refurbish hm how;neatly muffle what;times;prudent viciously insignificant;likewise;avaricious;quarrelsomely ugh;aw
3;however breakpoint c;lasting;not;bah;meek regard till;although failing hence;slowly sculpture;whoa;before;ah;rewire bony snowboarding;notepad tricky;little mechanically ;bedeck
4;slimy;congressperson;park;dirty;excepting fairly;fooey gah;prevent;rightfully impugn which;truss burgeon solemnly;indeed poorly gadzooks;amongst name;although;meh;following searchingly ecumenist
5;um;fiercely awful wit;ick mid uh-huh;throughout;blah yum oh;keeper;disguised fondly geez;an squirt spending;scaly;ah flatline;bad;how last petty;foul yowza;stable
6;ah;reflecting;infantile;astride likewise;against woefully;bah blah victoriously;inflate cord cesspool;movement parched aha;phew;warmhearted overfly discourse;calendar bleakly;attentive;atrium moisten;carving
7;shopping experimenta;although;mysterious pfft;burdensome;whose;equally ache;unto explore;text gain;ocean;drum er successfully;conversion whereas phew;frosty;hm er zowie;unbearably
8;hungrily well-worn;and ah jacket;unlike whitewash;minus comparison derail;even;strictly ouch;amidst rude;yum during eyeball;for everlasting knottily;worth er;but;socialize molasses yahoo;eventually dearest;reissue
9;calm outstanding;unto round;zampone;per;self-assured;nervously innocently;charity when aw;contention talkative patiently;sail afraid melodic;noted;because around joyous;manipulation;yowza;clear poised
10;shiny;impartial scarcely;cruelly lively;hm;chromolithograph;roof reflect;likewise gee;er roster evergreen;aware throughout;pickaxe up;true in envy;now;until;consequently
