id;activiteit;beoordeling;datumseponering;datumtijdtot;geseponeerd;locatie;organisatieonderdeel;overtredingscode;overtredingsgroep;referentienummer;resultaat;soortvthmelding;status;straatnaam;taaktype;zaaknummer
1;adorable drat;fatally;2024-05-05;while conjugate;against stealthily overreach;blah properly er;brr;taco carefully softl;tune kooky though;seep collection ack;descriptive dispute nest;deliberately during;shaft puppet;voluntarily;wakeboard interesting;chuck hmph
2;whose except;now;2024-05-05;provoke interpenetrate faint;recent;out while;hatch;pneumonia which mean;aw;apropos;than;spiteful;ah;riddle what tenderly;except;geez but
3;amongst provided;physiology;2024-05-05;outrageous versus nourish;yearly incompetence guard;as politely;bout though;minus;indelible;sniveling wee deputize;after;memorialize introduction fussy;nap who quarterly;vacant circa worriedly;afterwards;and
4;unwitting ack;belated;2024-05-05;woot;listen furthermore;certainly suppress cultured;marxism where magnificent;once;aw formal;inside tight;debase;furthermore;limo cigarette;conceptualise veto;into;uh-huh chamber airfa
5;swear strictly wherever;yahoo near;2024-05-06;off;hence bedrock once;whereas bah;alarmed;woodwind within;mmm;until;and struggle revival;helpless;coaxingly until;unto pretty gosh;ugh gummy wherever;ack fast alongside
6;incomplete;pretend;2024-05-06;ah brr;where before towards;mechanically gee;but;ew um advent;fully partially;tremendous pace poorly;energetically;hijack rock enormously;till;quotation;sandbag oddly convene;repeat
7;hm spud pfft;thrive tail;2024-05-05;phew harmless yearningly;shout safely towards;afore novel ew;aw though feint;where joyfully excep;until;till ha;almost;insignificant;excepting rear essay;fooey composed pish;blah midst complicate;physics
8;before until equal;nervously;2024-05-06;of under;gah deserted aside;vital;ironclad once;since alongside besi;if plume but;per aboard eek;unless spine ugh;obnoxiously;however;gosh pish whereas;painfully sympathetically;impartial oh via
9;ugh;sturdy;2024-05-05;nod suckle;excellence;beloved satisfy;shipper;aha supposing reassu;hole expectation;speedily;loudly disability finally;merrily who amidst;bushwhack happily;across or likewise;between huzzah;round furthermore mo
10;unused candelabra zowie;chief ha;2024-05-06;behind;frantically;hence agile what;however;badly vacantly gadzo;vivaciously;flippant;bleakly bemuse;mmm;enrollment not whenever;anti block;hence;restructure blind
