id;arbeidsvermogen;begeleiderscode;beschutwerk;clientbegeleiderid;datumeindebegeleiding;datumstartbegeleiding;indicatiedoelgroepregister;empty_clientbegeleider_id
1;meh aw;defensive;unwilling psst;except;easy;joint spork;supply until;1
2;likewise fry;closely;reproachfully warped healthy;engineer;option pfft;few safely;minor riding how;2
3;tragic paintwork naturally;innocent;until out phooey;upbeat;false far;dress;irony throng escalate;3
4;contagion before;parallel chasuble;towards against successfully;before weepy swiftly;glass ha;whoa interestingly humming;um shack poleaxe;4
5;where but;zowie untimely psst;scout as edify;forenenst smoothly alongside;sometimes;inside blaring;as scratch;5
6;fishing but;qua;underexpose anxiously;like;apud because;profitable;as experienced porpoise;6
7;made-up abandoned unless;phew;about although until;but while overjoyed;quietly;for whoa haw;nor;7
8;copyright high;familiar demerge scorch;for yuck chalk;consequently arrogantly incarnation;known supportive executor;barring small crossly;through;8
9;once out;huzzah mangrove;scholarship workhorse beyond;wean sleepily gee;irresponsible film;frivolous pricey however;woot vocalize economize;9
10;platform offering;incidentally gah;excluding cradle;tie save next;grimy;closely whoa;graceful vivaciously;10
