id;aanleghoogte;bouwwerkmateriaal;breedte;fabrikant;hoogte;jaaronderhouduitgevoerd;lengte;leverancier;oppervlakte;typefundering
1;um;an likewise shimmy;underneath;soprano duh;oof worriedly er;rectangular after;a;inwardly shove harangue;interpreter;bah uselessly motor
2;via ew nor;bah;sheath incentivize inside;judgementally quart;diagnosis after french;fear fusarium;blindly;joyous however;qua;pricey
3;yesterday;ensue;offbeat lest black-and-white;than revalue busy;intervention unexpectedly;now violently;amid spruce odd;that;disconnect between;ack when
4;physically yum;truthfully by whose;derby;roar times disguised;board tingle jumpy;salsa;pish not;confirmation keenly;per;amid likewise
5;encroach well mercerize;marathon oof arithmetic;kissingly athwart zero;monumental oof;although veil stimulation;selfishly;of because;despite because wasteful;under gosh clothes;blissfully duh pfft
6;eek plus;yippee;oof minor-league;revascularisation;phew apprehensive indeed;minor psst opposite;farewell warn;sneaker yet;joke mediocre;checkout ack
7;eaves onto;juicy;fantastic knottily;commend wet;even who;unexpectedly;the like manhandle;obvious populate;late;where onto
8;ring;ah softly an;er butt gosh;quicken domesticate;nap ninja famously;upset flood;maunder sponge rating;ambience whoever whoever;psst dumbfound where;boohoo badly
9;boohoo pfft pace;heist;lance;unto rudely insistent;yowza;selfishly following;rigidly;upside-down umpire;psst guzzle;meanwhile unnaturally
10;plush indeed;besides;brick badly;however wrathful truthfully;dress where animated;outside anti;apropos;loosely jar motivation;calmly;exotic failing refrigerate
