id;aantalkamers;datumbegingeldigheid;datumeinde;datumeindegeldigheid;datumingang;documentdatum;documentnr;gebruiksdoel;geconstateerd;geometrie;hoogstebouwlaagverblijfsobject;identificatie;inonderzoek;laagstebouwlaagverblijfsobject;ontsluitingverdieping;soortwoonobject;status;toegangbouwlaagverblijfsobject;versie;heeft_vastgoedobject_id
1;rectangle woo upon;2024-05-06;2024-05-05;2024-05-05;2024-05-05;2024-05-05;patiently theft whoever;organic oof;false;seriously after cricket;ouch;basic regarding whenever;false;stylish deeply;try meh briskly;where round eek;lest;overspend disafforest;failing wander informal;1
2;piercing dense;2024-05-05;2024-05-06;2024-05-06;2024-05-06;2024-05-05;thankfully;yuck;true;prise;absentmindedly;dole sadly stone;true;enhance;gee expert yuck;oof offensively owner;hurt;plate continually;gracefully midst respire;2
3;wildebeest darling overeat;2024-05-06;2024-05-05;2024-05-06;2024-05-06;2024-05-05;survivor yuck;firsthand encirclement;false;geez;moo outside;so;true;woefully;justly ick;gladly yowza;properly including likewise;gainsay unabashedly;nor;3
4;hmph;2024-05-05;2024-05-05;2024-05-06;2024-05-05;2024-05-05;sight past;romance;false;north;notation though whoa;nearest calmly brr;false;whoa;yet overturn toe;appeal garrison;inasmuch;whether;fooey internal commiserate;4
5;yippee direct;2024-05-06;2024-05-05;2024-05-05;2024-05-05;2024-05-06;cold hack;towards;false;bland drafty dude;before;permeate ponder meatball;false;who ugh;win parcel eek;dreamily satisfied worse;fair round well;once revenant via;forceful failing thorny;5
6;willfully ah;2024-05-05;2024-05-06;2024-05-05;2024-05-05;2024-05-05;diligent amongst ringworm;hmph till;true;atop slipper;supposing bogus;if on;true;excited eek;why behaviour;ew indeed oh;deduction outclass;before basil unnaturally;sedately;6
7;lighthearted needle demote;2024-05-05;2024-05-06;2024-05-05;2024-05-05;2024-05-05;uh-huh thirst establishment;gosh;true;curvy oh afore;likewise;whether opine;true;particularize elegantly concerning;specialise;whether;dust where;since mid;woot;7
8;beyond before via;2024-05-06;2024-05-06;2024-05-05;2024-05-05;2024-05-06;cent;disruption strict;false;ectoderm from elf;gosh far;below since upright;true;several stupendous including;seemingly commence;conversation on;near station however;comply;zealous as fondly;8
9;elude fast release;2024-05-05;2024-05-05;2024-05-05;2024-05-05;2024-05-05;excite;woot while meaningfully;true;vastly robotics edible;warmth;ah abaft times;false;out;hm what but;yuck behind gracefully;plaintive;drat freezer;intrigue miscount;9
10;crossly vend;2024-05-06;2024-05-05;2024-05-06;2024-05-05;2024-05-05;yippee phooey instrumentalist;thoughtfully and;false;drat below slushy;so communicant;out jewellery playfully;false;unless inside brown;ha carefully as;if;expansion;nippy because;provided counterpart melodic;10
