id;afhandeltijdnagesprek;deltaisdnconnectie;eindtijd;starttijd;totaleonholdtijd;totalespreektijd;totalewachttijd;totlatetijdsduur;trackid
1;or;curve;klutzy;subordinate silent;sans;inasmuch but;now;however gray ack;prompt vivaciously m
2;collateral supposing;majestically although trim;equally;glossy;within;quickly whose;healthily anenst given;although intone once;forenenst politely c
3;gas mmm hungrily;ejector;green proud;intensely gah;psst expensive;unimpressively pish eek;bad quota;attached without while;well-being
4;yesterday ack;unless;meanwhile pfft gah;behind jaggedly;hard ouch;visible pearl nautical;down gee;loyal dramaturge;overfeed rapid
5;psst;meh astrolabe;restroom supposing;meaningfully damp after;vivaciously separately;rainy boo to;buffet silently;demonstrate save quicker;brief indeed sweetly
6;beneath radio amidst;obedient quell;banter;wetly what;yet boohoo inasmuch;whether abaft reef;satiate temp;kiddingly alarmed revelation;to quixotic disappoi
7;pesky rosy to;yuck;boohoo;geez slake;for or pavement;gadzooks bulk aw;psychologist;gee blood grieve;boo acidly infamous
8;however;pie incidentally greedily;meanwhile coevolution;porthole lest throughout;accuse;huzzah;versus bray woot;and mechanically tram;yet far-flung
9;blur;behind;once as;clause;hm interestingly barrage;forceful;why following broken;yuck;eve aha hmph
10;smash ew;modulate;calculating typeset ouch;skeletal whether jaggedly;gee;pharmacopoeia;ew supposing;gosh evolution;hm
