id;akkoordverklaring;ambtshalve;datumindiening;doel;naam;referentieaanvrager;toelichtinglateraantelevereninformatie;toelichtingnietaantelevereninformatie;toelichtingverzoek;type;verzoeknummer;volgnummer;heeftalsverantwoordelijke_initiatiefnemer_id
1;true;false;2024-05-06;closely blame;catalysis yuck sundial;frenetically;following;rocker;untried instantly soon;strut;tamp agonizing;reassemble special;1
2;false;true;2024-05-05;than until gently;while thoroughly consequently;incidentally;perfectly ack;ample;pace before;optimistically concerning;declaim adventurously gravitas;wherever subtle;2
3;false;true;2024-05-06;um gazump;livestock upbeat dredger;iterate;synthesize reliable malign;overjoyed abaft gigantic;antedate gosh;shyly amongst;redevelop;since;3
4;false;false;2024-05-06;where;advocate people phooey;beside;ascertain miniature reiterate;amid supposing;besides;bleakly;during foray uselessly;gosh subdued;4
5;true;true;2024-05-05;considering;criticize quicker particle;immigration verbally;nor justly procreate;await boo;surmise anti tenderly;qua save;yahoo;epee extra-small but;5
6;true;true;2024-05-06;liver geez;compliment;amidst warm-up frantically;unless;questionably picturesque;flash in unwritten;pish;pure ew;ick boo mmm;6
7;false;false;2024-05-06;intentional absent scarcely;poorly mandolin reinterpret;movement barring phew;since oddly;ha;icky surpass timely;twitch where;misrepresent;wooden;7
8;true;true;2024-05-06;cemetery boohoo;pillow;dispute foolishly rapidly;princess long-term;mold;mistrust;funny consequently beside;whoever;pet fatally quicker;8
9;true;false;2024-05-05;gray before fortunate;gadzooks yum;optimistically kookily ivory;if blissfully;beside cuckoo;supposing down whether;prepare aha;sandbag;since whose;9
10;true;false;2024-05-06;pulverize;fervently;alphabetize impressive;scrip gym;ornate;idle gah;correctly innocently;accord;amongst;10
