id;adresaanduiding;datumaanmelding;datumgoedkeuring;eindtijd;goedgekeurd;herstelwerkzaamhedenvereist;omschrijvingherstelwerkzaamheden;publiceren;starttijd;wegbeheerder
1;toward more gosh;decision-making replenish;fat;dutiful plugin;true;true;dearly ack provided;true;finally where;meanwhile hubris
2;disappoint;recondition whoa actualise;woot evenly versus;relative minority;true;false;uh-huh likewise;true;boo;automate intensely ah
3;delightfully;profitable;contraindicate but;um though when;false;false;before gosh;true;where fast;lest unlike
4;what reservation next;earn colossal shrug;generally brave allow;huzzah;true;false;austere fooey swiftly;false;injunction save;yippee wonderfully watery
5;complicated;hazel enthusiastically yuck;and mid transcript;powerful;false;true;weary anti;true;notwithstanding phew behind;yum
6;above honored;outlet pace awkwardly;stealthily yet physically;foolishly agreeable sparerib;true;true;after retrain denominator;true;closely;along
7;seemingly on;hmph imagineer;spokesman um;monumental yet;true;true;fondly;true;action yahoo;while excitedly
8;taper;busily how stitch;supposing gosh besides;cytokine;true;true;alternative huzzah;true;successfully;cop yowza
9;now unbearably atop;yahoo onto;upside-down fifth duh;besides;false;false;sue than psst;true;whoever whoosh;delectable without gah
10;abaft bowlful defiantly;amidst since scratchy;modulo;versus debug forenenst;true;true;minus;false;repeatedly;yodel yesterday
