id;datumopname;definitie;domein;eaguid;herkomst;kardinaliteit;lengte;naam;patroon;toelichting
58e2eb00-0b01-4f15-8cec-55eaab618b8a;2024-05-06;forenenst individual impropriety;till ack lightly;drat aside but;urgently until;amidst;acidly where;anti curiously;cannibalize mild;amused sadly rake
59944c68-b05f-4563-8bc4-b331454d51c2;2024-05-06;deeply eek;alternate;thin because;pull nicely easily;er mankind;yuck criminalize patiently;incense pitcher vigorous;nor emerge considering;ha
19171aff-0c0b-407f-8668-536efc2e731e;2024-05-05;excitedly atop;expose sarcastic popcorn;around;alto boohoo before;drat not patter;for;complaint than;second-hand who furthermore;badger
495b6bb3-f3e5-4eb1-992d-269a2caf1fce;2024-05-06;tarmac;without at;stimulate unsubscribe frizzy;vivaciously mid;discipline;rotating;er snowflake;toward extremely;as bah spotless
5327c929-f6b9-4b4c-9785-777c94e29011;2024-05-06;grim phew;whole;frankly comfort;unfortunate misbehave;across insure suddenly;kookily stealthily;strictly spatula;reality;indolent aw
5058a493-86a9-4977-8c16-f8b7c1c6d375;2024-05-05;opposite title inasmuch;man fuzzy dearly;accessorize intensely while;hydrocarbon boo;woot with authorize;miss yippee;happily on astride;throughout whenever;inveigle
30299787-cefd-4b68-8eb3-a7cdfc416c2a;2024-05-06;fail astride worth;failing;sweetly;reporting;indolent;obnoxiously;statistic;consequently equal;when dreamily
c2717eff-9dd4-40b0-9b4e-8ce291da87ae;2024-05-06;disguise remnant step-aunt;frankly where likewise;anxiously;dear expert buzzing;cloister headphones worth;windy;drat inflate sweetly;sparkling;ugh keystone ebb
48d6ba42-bd66-445e-a322-1dd6bd45046c;2024-05-06;blah daintily;than;when;unabashedly;behind partially yippee;barring;rebrand far gee;scarily prompt;though drat
605fa939-7648-487b-ad26-bdbc71d23645;2024-05-06;carefully;triple foolish upon;besides positively if;thoughtfully enrich;after meh;nor pfft;curly veterinarian;blissfully depreciate;lively oh
