id;breedte;diameter;drager;hoogte;jaaronderhouduitgevoerd;lengte;leverancier;materiaal;vorm
1;pole properly chime;deejay indeed;admirable fair;crooked sonar boxspring;where;feign once;fooey far-flung puny;yowza ew;zowie till
2;hence;nearly;pleat;toward shift lest;dragon;noisily secret;before;waterfall pleasant;dense afore clear-cut
3;wordy merry distant;physically meanwhile;equal budget;grumpy;to knavishly;healthily;admired avenge past;mixed;for shocking plastic
4;heavy shock;during will;general;behind supposing wetly;rapidly deceivingly;anenst male;brr neatly;who vaguely crooked;carom phew
5;seize;phew;gadzooks;knottily gosh yet;deliberately eek continually;sandy;um;of;who
6;up;concerning greatly;bunk;yuck the;readily macrofauna;restrain;extra-large;itchy pfft how;oof only
7;speaker elliptical;surprisingly meh crate;craw behind pledge;intently;gravity where or;before compare;duh;rarely;satiate
8;selfish of if;which;involve subtle psst;what round;although;behind captivate;geez;whether;reluctantly
9;swerve;sans;after pro;below yippee;freely hopelessly zowie;though atop purr;whether;regarding jubilantly;yearly
10;curly;ick;perfectly upbeat drat;common;knowingly countenance;meanwhile if;reliable fairly;sermonize;utterly canine because
