id;coordinaten;datumeinde;datumstart;jaartot;jaarvan;locatie;naam;naamcode;projectcd;toponiem;trefwoorden;heeftuitstroomreden_uitstroomreden_id;heeftresultaat_resultaat_id
1;loathsome;2024-05-06;2024-05-05;than rough except;easy prizefight wildebeest;seldom;beside sermonize;deskill;sans;slake;topic;1;1
2;provided;2024-05-05;2024-05-05;king circa;than properly pluralise;ouch broadside;whoa astride tension;better after stark;eaglet;lest;bogus uh-huh champ;2;2
3;sans uh-huh;2024-05-06;2024-05-06;warmly relieved;skating against portend;trance meager hallmark;oxygenate;if ouch;midst even by;phew across outback;everybody divorce during;3;3
4;subsidy dollarize dimly;2024-05-05;2024-05-06;conscious;criminal;consequently how full;over;dreamily joshingly within;misinterpret yahoo down;if including sedately;ha drat;4;4
5;fooey emcee;2024-05-05;2024-05-06;speedily than who;phew yawningly rest;cauterize whenever yet;quizzically failing truncate;shyly around;neglect;until inquisitively;urn;5;5
6;promptly academic compile;2024-05-05;2024-05-06;pony thoughtfully;seldom;agitated searchingly ouch;minus through because;of;up when phooey;personalize during;impartial;6;6
7;till chop royal;2024-05-05;2024-05-05;seriously wicked journey;enlightened worth;powerless;boo;ick;barrage;because incidentally coaster;greatly;7;7
8;loving nicely naive;2024-05-05;2024-05-05;whoa;downchange cost;fooey how before;though medium absent;bite majestic valiantly;zowie indeed amazing;lest;concerned carbonise;8;8
9;alter;2024-05-05;2024-05-05;around fooey gracious;till gah;nor;psst wealthy;blissful;brag;uselessly rear minus;pace;9;9
10;without cruelty;2024-05-05;2024-05-06;leash morph before;through now yuck;profuse yawningly;throughout readily carbon;demotivate;meanwhile trade annually;politely justly while;regarding light;10;10
