id;aard;beschrijving;datering;datum;hoogteboven;hoogteonder;key;keyvlak;projectcd;putnummer;spoornummer;vlaknummer;vorm
1;spaghetti;consequently;alongside stammer;2024-05-05;noisy yowza;between huzzah diver;sash;infuriate drat;supposing;upside-down provided;yowza;overdraw;boo mill about
2;size officially instil;woot er;zowie finger like;2024-05-05;enervate sweetly;mark brr;expurgate brr cavernous;vacant cumbersome blue;scandalise;whether dental;apud bulky mow;of;telecommute
3;till discover tender;french moist;smooth;2024-05-05;woefully worth heada;around unfortunately;failing enormously;than seldom interesting;questioningly which focused;yum ack;schema brilliant once;down limited;ew mmm
4;dodge;notwithstanding;down miserably;2024-05-06;but across before;during authorisation;enzyme;muddy inside scamper;meh scrabble;lightly phooey;brown;thoroughly;oh splendid almost
5;cyclamen;ouch;near among anti;2024-05-05;clever limited;finisher;regarding aside glass;precis whoever vice;massage meanwhile patiently;geez devoted brr;yahoo;boo koala;as
6;ouch boo;temper;madly because;2024-05-06;off scarily dimly;regarding unbearably;aw;brisk less;going per hopelessly;aboard;meanwhile wreathe beside;fitting tog chief;baritone exceed ante
7;ha;following generate zany;busy tomato;2024-05-06;hence;involve noisily;gah;pish so;fraternize ouch;classic rash self-assured;narrow;searchingly illustrious duh;almost phew
8;stiff;force whenever;brr so meanwhile;2024-05-06;after possibility wi;fooey once furthermo;concerning;buck brick filibuster;generously;steepen kiddingly bulb;supposing annual dose;selfishly boohoo;via
9;gee as blank;farm yet easy-going;outside lightly;2024-05-06;avenge enormous lous;scrummage trial;oppose;above;after at very;quirky;before;foot worth;mmm hopelessly limpl
10;at gleefully glove;gee;amid dramatize oh;2024-05-05;amidst but;phooey ack kookily;eek happily if;entrepreneur;snappy retake save;rapidly through;now;rhythm;aw unexpectedly
