id;empty;archiefnominatie;datumeinde;datumeindegepland;datumeindeuiterlijkeafdoening;datumlaatstebetaling;datumpublicatie;datumregistratie;datumstart;datumvernietigingdossier;document;duurverlenging;indicatiebetaling;indicatiedeelzaken;indicatieopschorting;leges;omschrijving;omschrijvingresultaat;redenopschorting;redenverlenging;toelichting;toelichtingresultaat;vertrouwelijkheid;zaakidentificatie;zaakniveau;heeftproduct_producttype_id;heeft_klantbeoordeling_id;heeft_heffing_id
1;even;without;whoa lest fresh;triple;provided;romanticize misapply snaggle;pessimistic reactant;quirkily;gah;softly portray carbonise;potentially composed after;mid frisk;ammunition;deeply amidst each;candle yearningly unpick;prize;geez;times digitize bah;lustrous homely;benefit out;hateful psst;quack rake;yowza;than instead reproachfully;joint never;1;1;1
2;tot ew insolence;ramie;equipment;march deign;zone;meh piercing;midst;altruistic;dispel clever;aha animate mitre;collectivisation supervisor;yahoo trifling descale;hourly before dam;truly blah blah;petty;sinful popular marksman;serpentine;versus;yawningly;light persist tremendously;while;census;delightfully;provided;finally recite worth;2;2;2
3;haunting lark club;suspiciously surgeon amidst;twitch ideal boldly;yearningly conduct really;hm;graduation likely upset;backbone;inject;frustration trusty;even ha mountainous;kosher whoa though;nest oh;infiltrate;sway ha;dapper;briskly gracefully;open;wonderful;this;left quick-witted till;next handsome furthermore;longingly ha;inquisitively;opposite amazing;shrilly;3;3;3
4;trafficker slug the;onto;yahoo gah why;plus;jealous provided although;boo;or;apud hairy footstep;when plastic modernise;colossal;worriedly;cumbersome;tights;hm psst so;defiantly;stable;barring afore;trip readily;soon;well-lit;puzzling bowdlerise among;joyously;uselessly obedience;after;caliber;4;4;4
5;euthanize duh;from if;proper jumbo supposing;maximum;aha plane;reuse dancing;amongst swap annoy;anchored;overstretch dazzling;if;wren naturalisation ha;cede media;reassuringly dial;what;oof bleach suspicious;success awesome;unique;vainly;second prevalence towards;handy eek ew;curly whoever an;bleakly;round;jab shabby roar;wide-eyed digital;5;5;5
6;finally surfboard tidy;madly behind exactly;every surprisingly provided;ticket programming whether;carjack zowie underpass;equation boo;gosh defiantly behind;ouch yum interfere;that;phooey circa now;bare;pacemaker but;if;finally unless;unto questioningly;mow;live sanctify;fooey;instantly before view;several meh blockade;from accord;certainly unless;alphabetize;enthusiastically astride;champion;6;6;6
7;perfectly reorganisation worth;modulo impure;paginate;drat pepperoni empower;evolution prestigious;stepdaughter;typewriter;how;when but although;whoever;slit;cenotaph silver;reassure;merchant;down semantics basketball;very plus;too;absolve times;bashfully searchingly upbeat;snoopy cleverly oh;limply;victoriously wide-eyed meanwhile;or abrogation reluctance;likewise;but;7;7;7
8;regard;pace do;leverage step-uncle;frayed yippee ew;who;healthily;bead streamline;by past;um;into under;since case basement;phew swiftly;eventually openly;vegetarian siphon;page outsmart ooze;astride yowza bather;oh jaggedly;of knavishly aquarium;vice interlace;sparse;cloves wearily professional;compliment;silently;ha;origin;8;8;8
9;twine;successfully although ah;scarcely oof ambulance;into disorientate;for;brr oh soupy;but;instead scallion;midst;zowie supposing tomorrow;gadzooks gleefully fatally;large than though;long-term;opulent;once but;for quicker cheery;duck bowlful wide;high;illustrious;wherever;onto how;notwithstanding;doubt;host;supposing often;9;9;9
10;following however;what;sternly;zowie optimistically;needily;limply till;miserably cicada regarding;likewise boo instead;crew unexpectedly;forenenst incidentally;oh;obesity tightly infiltration;delectable;given;since advertise;keenly gel nab;sip far physical;tremendously ouch;per;digital ah;at;difficulty;or tightly sedately;glacier although minus;readily yahoo;10;10;10
