id;aanleghoogte;aantaltunnelbuizen;breedte;doorrijbreedte;doorrijhoogte;hoogte;jaarconserveren;jaaronderhouduitgevoerd;lengte;leverancier;eobjectnaam;eobjectnummer;oppervlakte;tunnelobjectmateriaal
1;that mysteriously;render including yahoo;brow marginalise elementary;about;knottily thankfully;given symptomize;beneath so bend;yieldingly circa instead;afore pillow;faithfully past;pathology gazelle;uh-huh;cooperative happily rough;slim nearly obnoxiously
2;feng anti;teller;fen that grid;skyline;stump for;however;evince;consecrate;footstool devolve;milepost rotten ew;upon aw;tedious;among plus boo;lazily circulate
3;blah;daily gorgeous;out brr terrific;which what;demur searchingly geez;potter via villainous;after card;rave;via medium;sharply baseball;syndrome under pro;absent wherever;pertinent mmm frenetically;vigilant
4;delightfully;finally likewise;frock ugh secrecy;unwelcome ferry;who epauliere zowie;inflate pish;freely;since;hence wildly;reproachfully repeatedly geez;hence brother-in-law;shy single;relaunch necessity naturally;scamper scaly
5;overlap;towards tame;roast ack deep;moot clearly lest;gah;flamboyant heavily;since whereas hence;now;what when;recent whereas among;goodnight swoop;envious;overconfidently;ha
6;considering although;reap outlandish where;evergreen;scarcely sophisticated aboard;protect;under loudly worn;faithfully aha;madly;cornflakes duh;leather absentmindedly;agitated sense;liquid;softly receptor;slop
7;whoever regal;without so;yum espouse;tan;svelte;because;however fortunate;dearly psst;underestimation;milky;neonate beef reluctantly;afterwards;greedily for pish;shocking
8;ascertain;how instil;whirlwind connotation;thankfully meanwhile;chart;that bunch elastic;unkempt;paralyze gosh experience;atop;fringe hopelessly obnoxiously;when;perceive;against mid whereas;throughout soon
9;croon patch;mortified fascia;stucco via blah;pish amused;perfectly prize;oh hm;boo notwithstanding;galley into;boohoo;once regarding reduction;filth;productive;underestimate conceive;yowza slog
10;following;generate kindheartedly;tremendously calm;like pish;although neatly;vice scrimp schlepp;beneath endeavor warlike;gee;pro;loftily readily overjoyed;hm;yum loudly;activity upright;upside-down
