id;aanleghoogte;bouwjaar;breedte;datumaanschaf;diameter;fabrikant;gewicht;hoogte;installateur;jaaronderhouduitgevoerd;jaarpraktischeinde;kleur;kwaliteitsniveauactueel;kwaliteitsniveaugewenst;lengte;leverancier;meubilairmateriaal;model;ondergrond;oppervlakte;prijsaanschaf;serienummer;transponder;transponderlocatie;typefundering;typeplaat
1;vivaciously pointless;where till brainwash;guilty noisily incidentally;2024-05-06;except;solemnise packet cameo;roar pro pish;opposite coupon;stack;ack hence;spawn ew;frantically centurion;stiff;cuddly;thigh yum defray;railing;unto angrily;bonk;mill hobble dismal;soothe handicap;psst psst problem;except complete;sharply;gadzooks;every knottily;false
2;enraged;outcome;wide-eyed;2024-05-05;healthily;giant bamboo ripple;consistency although idolized;dizzy antique;ugh fraternise;at whose acidly;understated disassociate strict;radar;athwart;buttery blah;reek;stylish;round;gosh absent;alongside;backspace;thoroughly psst;rigidly maximise utterly;code trigonometry;lanky;unnaturally winding;true
3;delightfully;advertisement;despite shortage nervously;2024-05-06;er virus;grass;woot after ouch;inventory spotless physically;bite-sized that athwart;observe excepting sanctify;grouchy speedily;sandwich stingy conventional;phone innocent how;physical finally irritating;lest vocalize discrimination;to bah;indemnify huzzah plateau;ideal psst stratify;excited athwart scour;eventually psst;failing;including;against whether;undermine literate aside;pfft distorted;true
4;nicely;have sunny prize;sugary;2024-05-05;behind storyboard concerning;missile highly wisely;elide lovely;impel ouch;clear;quiver discuss once;lessen who obfuscate;hence around;hmph;yet;qua underestimate trivial;however toward;boil save till;to easily;nicely;music-box;care since wrench;rapidly;hence yahoo;as phew;how hospitable cleverly;true
5;immediately smart tomorrow;implore for instruct;boot below aha;2024-05-05;sea;successfully upon swerve;who;fatally reassuringly gosh;orange ah;brr huzzah;phooey;indeed cater;shyly guitarist deduce;of consequently oof;hm eek;idle;yahoo;aw founding;naughty alongside;poised;republic;yum;weary pro super;until;confused about yum;true
6;deathwatch how rough;mouth aside roughly;kick brr;2024-05-05;if;after feast;through terminal unfortunate;foresee clumsy visible;oof continually opossum;doubtfully upon piercing;spending ouch kind;near before;engineering tuck;aboard slang;aha;since supposing;now along;as truthfully;aw;indeed stravaig;woot oblong boohoo;ugh;sport complaint;testy;interject;true
7;geez er;whoever annihilate;love;2024-05-05;butter;than;zowie parallel;apud fully indoctrinate;generously egg usually;spray;infantile garner;mirror burrito;righteously absent;athwart;between;unsaddle;decency tremendous;interesting;less woot till;passionate;for;lest;even so;meh phew;content badly made-up;false
8;liven;sugary;restfully unique;2024-05-05;deserted boundary;lest smock out;limb aha;across opposite now;damaged uh-huh;powerful;brightly;ouch;aw;dredge;until but though;ha charge tabernacle;instantly anenst decelerate;slice oddly;eventually faithfully uselessly;what;mindless meanwhile wish;who;geez;pathogenesis disintegrate arrogate;geez fussy ick;true
9;underpin though empty;er;why;2024-05-06;including;intimidate;while near fatally;than;suspicious macro;vestment ugh;gram harmony swerve;guest;when dark;control ugh ick;bonnet heed completion;amid;mass;than;obtain excepting resettle;launder mastication;furiously;drat flirt;ouch;aha appliance;um ferret stingy;false
10;scarily opposite;until oppose;clearly annually reply;2024-05-06;geez;failing curiously upwardly;as boohoo;vacant;sick;aside remaster;nice;refresh thrill cwtch;redistribute foolhardy;as;promotion;provided calcify anenst;now;pish;vouch gee coaxingly;whereas towards;splatter;grand unfit;manufacturing whoever;chop polo amid;yet categorise;false
