id;antwoord;groepering;publiceerbaar;vraagclassificatie;vraagid;vraagreferentie;vraagtekst;gedefinieerddoor_projectactiviteit_id
1;drat;heartache wavy yet;after lovingly flawless;ravioli;cash;because;yet;1
2;blah;beside because mantle;considering past incidentally;liberate hypothesise;stealthily;pish vow whoever;creosote crossly aw;2
3;clover;unethically;wasteful apropos;selfishly eek save;until;excepting pate;horrible hence;3
4;noisy swiftly;um aw rocket;oppose;gah after;sustainment er;notable;piece always furthermore;4
5;foolishly;stopsign rambler once;almost vacantly;worthwhile whether;footstool;afore neighboring dye;once;5
6;severe suspenders;eek ew murky;fooey alienated;given designation;unnecessarily;average;yet officially;6
7;anti eek next;specialty ruckus bewitched;reply;allot consequently;bah;sorrel yum radicalize;centre;7
8;demerge;instead;another;psst verbalize harsh;partially faithfully;mister;peony;8
9;but and best;engineering who provided;zowie;fit terrible along;mattock boohoo below;sans minus;waterskiing;9
10;setting;educated phooey hiccup;whoever;hmph and flee;amongst over;across;giant professor;10
