id;artefectnummer;beschrijving;conserveren;datering;dateringcomplex;determinatieniveau;dianummer;doosnummer;exposabel;fotonummer;functie;herkomst;key;keydoos;keymagazijnplaatsing;keyput;keyvondst;literatuur;maten;naam;opmerkingen;origine;projectcd;putnummer;restauratiewenselijk;tekeningnummer;type;vondstnummer
1;conventional;moose;false;faithfully;choreograph;wherever;cot;turkey;false;perfectly uh-huh as;only skyline;furthermore stupendous until;object fib elegantly;lest awkward mustard;manifestation yahoo underwrite;notwithstanding exocrine when;huzzah furthermore;within;yippee handsome mechanically;milk kettledrum;phew hmph weighty;um;searchingly hungrily;vaguely;false;million;often brr ticket;buffet pish hungrily
2;safely furthermore n;if;true;over along;soon;seemingly silence;redeploy boohoo jolt;yearningly trifling;false;beneath intensely realign;provided forsaken;fizzle swordfight whether;authorized expert finally;boo;disgusting convoke patiently;how blah online;lavish;seal;doubt;vainly alter;cudgel;crushing likewise eek;yippee thoroughly ca;prioritise hosiery s;true;before flicker;promise;absent
3;pharmacist among aha;zowie minus atop;true;pardon yuck;psst huzzah;equally who yet;frugal consequently;how below stance;false;ack yawningly although;hourly against;eek;blissfully;regular oh;daintily blah considering;upon;oof hatchet;wherever;or an melodic;briskly hurdle;except;near breakable coagulate;mincemeat harbor;excitedly unnaturall;false;kindhearted failing yuck;scrawny outfit amid;despite
4;despite;vascular ex-husband;true;woot vacant;pong shell;yowza mid queasily;triumphantly;righteously;false;whether whispered ew;following defense gracefully;upon indeed joyously;frankly adept warm;under steep;breach happily pace;pro;surpass bitterly;sleepily bah when;aw;restring;tune-up;optimistically brave;usefully;fortunately gleefull;false;warmly like ack;so;notice think
5;smug unto;sans;true;supposing;mockingly automation;submissive legal shiny;under during boohoo;simple bah metabolise;false;top;dust metamorphose;shore psst twittering;uh-huh;unethically;glamorous;qua;what cough modulo;immaterial sushi excitedly;the ha;till carelessly;attentive ah;dehydrate whoever scenery;independence build e;trained knavishly;false;cautiously pish;attached;cold which
6;although;ew;false;owlishly;chemotaxis the;consistency hmph alder;exert ick zigzag;off shoehorn conceive;true;fond;discern equally;minus pish forsaken;madly for;dangerous verbally gosh;valiantly anenst;inquisitively fender;evenly wherever yesterday;onto;yum;so spanish ouch;mover deeply;boldly;as;ornate ew;false;likewise book;spellcheck psst double;abaft aw
7;more;reflate yet;false;uh-huh before;ducks tab before;oddball whenever close;athwart lamp since;expert;false;sedately;bah per;hopelessly pish consciousness;ack;calculation glass;floor;terrorize barstool until;than sternly hideous;pfft;rudely forenenst;whose boohoo;wherever unfit;aw;aromatic;gee ha midst;false;wrongly along colorful;shampoo yuck;programme
8;beneath ew anenst;valiantly;false;a;but ham;till persimmon;viciously briskly yuck;coarse;false;unionize stuff;er examination refund;stopper;phew ponce urgently;eventually;free pleased;through alongside;lest the;psst;unethically reoccur;industry brr;insignificant interrupt google;twittering why;tensely;in always mid;true;tights jewel;longingly yuck incidentally;yowza
9;anti;when;true;glittering unblock terribly;crook;nearly;uselessly unimpressively;woot;true;rundown lunchmeat;hearthside;yuck bitterly;strip;between eicosanoid;forgather;extricate till thankfully;pish minor-league;psst;even why annually;throughout famously since;apostrophize;mmm acclaimed entire;geez teach extricate;patiently normal ple;true;hydroplane accessory;jol gibber during;beneath midst
10;over animal;collectivise;true;washbasin;hence scrawny moat;fine toll;yahoo gruesome vaccinate;meh;false;tragic until;frightfully sinful;lightly er;spectacular unless;clarify;autumn;mechanically displace;uselessly yam;physically deliberately united;fooey incidentally;accurate tomorrow;blah;vice;choke whereas;or;true;superb;recent winged unwieldy;unless
