id;aanleghoogte;antigraffitivoorziening;bereikbaarheid;breedte;constructietype;gewicht;hoogte;installateur;jaarconserveren;jaaronderhouduitgevoerd;jaarrenovatie;jaarvervanging;kilometreringbegin;kilometreringeinde;kleur;kunstwerkbereikbaarheidplus;kunstwerkmateriaal;kwaliteitsniveauactueel;kwaliteitsniveaugewenst;lengte;leverancier;looprichel;minimumconditiescore;monument;monumentnummer;eobjectnaam;eobjectnummer;onderhoudsregime;oppervlakte;orientatie;technischelevensduur;typefundering;typemonument;vervangingswaarde;wegnummer
1;gale question popular;true;moralize;sharply;project anchovy;hopelessly aggravating before;spool familiar;vicinity;endpoint obvious;yuck adopt;silently regarding;careful handmade;in because;super;toad;provided gosh eek;or;provided;underspend dimly;while fellow;hole;true;thoroughly ack;false;curiously consequent;angle regarding woeful;yahoo unabashedly;taut port;for cheater;discretion shrilly deliberately;fibrosis exciting;consequently crop till;inch bulky;politicise;following masculine 
2;ready;false;crackle apt;willfully detail fleece;fooey dreamily slippery;um;wildcat provided;simulcast dreamily however;oh marketplace;doctrine furiously consequently;defy repatriate through;burp fearful;execution unless whenever;absent aggravate;whoa;kennel qua bah;near;abacus warmly whether;down;better window;before frenetically;true;drat;false;outmaneuver hockey s;garland upward brr;small;minister tap;yowza why;flat;formamide impolite ouch;ick disenfranchise;alongside;and;pretty
3;darling cot behalf;false;accomplished conventional;beyond while;gruesome consequently greatly;endoderm;mid;when once;emulate boo ugh;prairie phony noisily;bleak meanwhile;gripping helpfully lightly;eventuate harness poleaxe;punctual;nor some;yahoo an;cheep rural unless;but;against;ha jaded;lest;false;aha;false;gibber;gah bah;because;outpoint;after backcomb across;uh-huh clog sunny;triumphantly;mean marketplace;provided tousle failing;problem assail;eek till
4;an wrongly yahoo;false;throughout how;alluvium reluctantly gracefully;deforest positively;ha lathe;um;trivialise;sans;normalisation;cow nibble retell;eek into authentic;alter booster;fragrant savings;hedge while remote;completion through villainous;along;beneath fickle whoa;instead worth tender;when;whoa;true;forenenst mail blah;true;peony mediate;beneath huzzah;sunrise;outside against;thrive;likewise criticize;sniffle enormously;up aha researches;now;boldly tear;ugh blah
5;happily reproachfully yowza;false;outlandish;barring;reparation;knowingly recharge;aromatic willing reoffend;at woot;anchored;shoes indeed absent;yippee shower stylish;talkative immediately;pro aggressive mellow;sympathetically;impossible;hm frightfully hourly;ash huzzah;than hmph message;finally;up unexpectedly dart;down;false;lamb phooey;true;swiftly;unfolded exemplary;moist out;out around into;mortise blouse inasmuch;impart impolite zowie;thirsty;sturgeon angry;mixed silver nor;pro;times than perfect
6;gah when;false;under shakily extremely;moustache vagrant;aside readily;slushy;schematize fix;phooey cultured;swindle boo;ack yowza;under secretion;mellow encouragement;limit mothball;freelance underneath;crafty print pace;drawl atop caddie;adventurously;giant underestimation;whenever;leave;genuine midst;true;inquisitively term blah;true;where weasel strip;generously;very so;kiddingly lest velocity;or academy;speed aside like;superiority ah;dreamily boohoo;reschedule worriedly an;whose fibre meh;counterpart vague
7;munch and;true;aw;now dirty;shiny embroider palate;ew following;affidavit although past;comment heirloom lender;brr gah;whose if reamer;boohoo past for;yowza;before drat denude;veto than;disastrous;anniversary whenever unused;psst gifted;yahoo;nectar save disdain;acidly;sure-footed than telephone;true;difficulty;true;meh;considering indeed;unto sign;coaxingly;brook if scrutiny;favor mmm;quizzically;before;flamboyant;tepee likewise timetable;eminent genie knotty
8;brr times derivation;true;quirkily underneath;lumbering absent deeply;affix;often;vainly busily yin;upgrade unexpectedly whack;ugh on;to comportment anti;loom duh;astride blah;by;fooey constraint chivalry;whose;regard masterpiece legume;dental;circa;ham kookily;ha aged and;before um;true;incidentally what;false;what while unlike;cheek teethe;bull-fighter experie;aw reminisce;up;chiffonier through;expend consequently concerning;finally;full meh;whirlpool cone whereas;hm which knavishly
9;once homeschool yuck;false;recrudesce anonymize;searchingly yuck cram;inconsequential;yak starry;highly stress;humiliating;pretend a;consequently necessity craw;above pride;medication;afore;generous;zowie dull freon;up great deputize;pfft acceptable grubby;dynamo;ascertain sympathetic;for eek furthermore;whirlwind;false;geography;true;bravely queasily sca;concerning okra;pierce once;accomplishment inasmuch;soliloquy ah tragedy;too tamale;once;accordance what;than;surge slushy beloved;brr requite qua
10;warlike unbearably salami;true;as;for;chip what with;indeed;hanger;discolor crave sane;dot tangible;solidly filch after;primary;of sieve;heartfelt thong;restructure;how drat tiara;when;ugh;exult recklessly before;sheepishly;between qua darken;worker gee;true;hmph failing gosh;true;given;watchful how woot;shrink;solemnly;versus beyond;the whoa;boastfully eek unnaturally;woot schtup mmm;rekindle how;after;waterproof
