id;archiefcode;datumbegingeldigheidzaaktype;datumeindegeldigheidzaaktype;doorlooptijdbehandeling;indicatiepublicatie;publicatietekst;servicenormbehandeling;trefwoord;vertrouwelijkaanduiding;zaakcategorie;zaaktypeomschrijving;zaaktypeomschrijvinggeneriek;heeft_producttype_id;heeft_bedrijfsprocestype_id
1;acidic for shrilly;unto save;generous correctly;speedily from;through;chillax rapidly what;who;hmph;whose around as;yuck;descriptive that;muffin;1;1
2;dishonor;stark since upset;as;scary;goof aw miserably;formamide perturb;over rattle;triumphantly fond loftily;scram demur afore;but past excerpt;plus queasily;yowza terrible;2;2
3;barring nutty elonga;elegantly jagged dog;entrance;next;only aboard;beneficial inwardly;steel uh-huh yum;insignificant modernity;quake barring brr;sieve gosh filing;vainly even;wherever;3;3
4;reparation booklet;bomb;yowza;headquarters indeed;mid perfect hm;moult;smart;meh inasmuch toga;indeed duh;champ before freely;drab tenderly drat;wow;4;4
5;consequently;supposing intently;whereas;runny grease closed;sunbonnet;wilderness ouch;upon damp;yippee fooey mostly;horst edify;snowman disastrous;major but any;ick forenenst staid;5;5
6;but indeed;on disposer apud;integer trap restoration;boo among;delayed of old-fashioned;luxuriate;distinct alert;buffer;quintessential where;elegantly after;who illiteracy gosh;including;6;6
7;detail focus;inside perfectly metabolise;yowza;ah clout aboard;considering about fast;skinny scientific;including once per;good opulent by;diver uh-huh of;wager instead ouch;incidentally woot career;ugh;7;7
8;whereas noisily oblo;shy;meander brr worldly;mooch;apropos;sparkle ew fortune;rich;stifle;rigidly;apud with with;into;sympathetically eek contribute;8;8
9;entice by;recklessly reassuringly besides;apud;very soup immediately;lest;alphabetise afore;yowza healthily ick;day accelerant supervision;hex negotiation;that;why lest at;aware freckle;9;9
10;gifted hm ick;off;hungrily um;even;excepting why whopping;hurdler;since;preclude overflow excitedly;monthly quirky;energetically thistle yahoo;yuck;oof poorly;10;10
