id;datumbegingeldigheidkunstwerkdeel;datumeindegeldigheidkunstwerkdeel;geometriekunstwerkdeel;identificatiekunstwerkdeel;lod_0_geometriekunstwerkdeel;lod_1_geometriekunstwerkdeel;lod_2_geometriekunstwerkdeel;lod_3_geometriekunstwerkdeel;relatievehoogteliggingkunstwerkdeel;statuskunstwerkdeel
1;2024-05-05;2024-05-06;nutritious;unfit;whenever whoever;ideal waft supposing;searchingly;entire speedily brr;efface;manacle
2;2024-05-05;2024-05-06;mmm;restfully;toggle aside short;cornerstone vivaciously unless;gratefully by empire;before focused;sticky investor;skew country once
3;2024-05-06;2024-05-06;heavily;pace insidious;snack coaxingly;failing and;micturate;outfit whose burly;lost idealistic between;unnecessarily
4;2024-05-06;2024-05-05;hull to;questionably whoever;furiously holder wetly;afterwards eek;scout blind;endeavor ambitious gah;computerize;including
5;2024-05-05;2024-05-05;required;upward hearthside athwart;rifle unto psst;daintily loaf determine;how zowie zowie;commercialize;tilt yowza;noisily
6;2024-05-06;2024-05-05;bite-sized;violently grave beautifully;quietly;apud huge meanwhile;what;secondary meh;bah dock wherever;medal acquaint
7;2024-05-05;2024-05-05;alarmed;likewise;geez;blurt meh;deeply internalise mid;avaricious;around worth;sift decisive correspondent
8;2024-05-05;2024-05-06;woot yarn;whoever;flower than;aw plus deceivingly;mmm however;behind nor well-off;chives astride fondly;er so
9;2024-05-05;2024-05-05;barrier signup liquidise;briskly provided competent;overreact rawhide;up outlet;near lazy yard;opposite;till;per literature
10;2024-05-06;2024-05-05;pirate;under;bulky geez whereas;than on oof;ouch because;notwithstanding welcome;towards;save jagged joyfully
