id;aanleghoogte;antigraffitivoorziening;bereikbaarheid;breedte;hoogte;installateur;jaarconserveren;jaaronderhouduitgevoerd;jaarrenovatie;jaarvervanging;kleur;kwaliteitsniveauactueel;kwaliteitsniveaugewenst;lengte;looprichel;minimumconditiescore;onderhoudsregime;oppervlakte;overbruggingsobjectmateriaal;overbruggingsobjectmodaliteit;technischelevensduur;typefundering;vervangingswaarde
1;following provided boohoo;true;so insubstantial;ginger tributary;fooey;alliance;yurt southeast;who sigh director;freely;postmark who oof;bright;monthly bah;bus circa sidetrack;valiantly;false;anodize;ouch sternly;magic true without;growing;burning mysteriously;below;hitch;repeatedly wherever
2;yet incidentally;true;vastly;geez;between;surprisingly after;secularise vapid;joey;recall;scarcely guestbook sympathetic;instead authentic;merrily;messy on;worth;true;arctic;announce spark;an;who;jealously braid considering;wake in;blindside;sombrero whether wherever
3;elegant summon gee;true;by duh;excepting;including yowza;aquaplane;hm brr equally;toward;positively;blah coordinate;capitulate;encrypt attempt unto;yum;spicy spoil mind;false;colorfully;helplessly bah innocently;plenty;structure;nor unnaturally plus;adsorb;emphasis stale;since unimpressively helium
4;shingle regarding properly;true;eminent kooky;sunshine;limply sardine unlike;smoothly between;boohoo imperfect arrangement;onto nicely surroundings;until;eek beyond;semicolon next;excitedly woot;soon talkative striking;off;true;stealthily optimal webinar;blah at between;expansion heavy;gratitude phooey off;down after respect;energetically whose;while;relaunch gently far
5;rude vainly;false;censor alphabetise;behind;levy;difficult modulo boldly;commonly gah drat;thorny accustom across;ouch what er;why given;wary repeatedly;lipstick along woot;powerless;whenever;false;correct;imprint;out subtle burglarize;boast;frightfully what smash;ecliptic drat regenerate;scythe livid;male citizenship
6;pfft;true;freighter itemize;till;yowza talking;dash;countess beyond;sympathetically cruel;trail surprisingly brightly;next cardboard furthermore;uh-huh affiliate;jinx pint stagnate;magic forenenst er;ugh fervently towards;false;alongside leather absent;combat so;crafty than equate;joshingly seemingly klutzy;versus;freestyle;wiggle after oh;among doze
7;productive apud;true;across um;of;so ha;glittering group;pastel;aha behind but;blah unexpectedly bashfully;odd scarcely;throughout velocity;until thankfully;adapt hmph;whoever;true;boo blacken;beneath sweetly;particle;meanwhile;cashew;woodshed;unlike ectodermal result;lacquer
8;generously consequently;false;nanoparticle forenenst;blindside psst;group like;tankful equal;always;fragrant;vice gutter;aircraft;nationalize;between violently endeavor;perk;polish overnighter;true;delightful ha ha;sheepishly;furthermore who;glare contrive;internal overhang miserably;sweet meh;philosophize behind;ew unruly qua
9;amendment pish flint;true;whoever;kindly;fry when queasily;jubilantly;that psst;hence legislator;furthermore throughout;philosophize;fine ensure vacantly;hearty whether collate;zowie judo;real awkwardly;false;unkempt spaghetti glee;blaring climate;ceiling fast valuable;when coaxingly yippee;farrow motionless;whenever;lean reprove;delectable botch
10;an;true;ream sport hmph;yuck fully;even in;cultivated;grizzled regarding;supposing till filter;precipitation yowza;trample within;whether why provided;knitting avenge;trawl repay best;ew outrageous;false;that political amongst;defiantly;abbreviate needle;glider;weak;bereave wax;frugal worriedly fooey;vastly rarely
