id;authentiek;datumopname;definitie;domein;eaguid;herkomst;herkomstdefinitie;identificerend;indicatieafleidbaar;indicatiematerielehistorie;kardinaliteit;lengte;mogelijkgeenwaarde;naam;patroon;precisie;stereotype;toelichting
fddd60f7-3fa7-4b40-80e0-b0e5d8fad538;false;2024-05-05;dapper cannon bah;lazy thoroughly;early ew consequently;astride;bolero focus unexpectedly;false;false;false;upon yum;boo whereas milepost;true;as;pave modern;winding bah;although;pungent
207378b0-d7fd-4824-b12e-5ef7e0ac8de2;false;2024-05-06;faithfully kaleidoscopic shirtdress;softly;boohoo true hmph;semiconductor blah;mockingly tightly;false;true;true;fair;around within bewitched;true;uh-huh;whispered;decree track;whip wisely photosynthesise;sheepishly riddle
368cd192-68e1-476c-8064-185a809a14eb;true;2024-05-06;qua although;whereas teleport;render;till;epic;false;true;true;cheery barring;fooey;false;sparerib through;but safely;shimmering comb;dare;whisker um duh
9b04a8f3-7077-4240-990a-53c86364d3ff;true;2024-05-05;furthermore nor;infringe speedily;belated even times;apparatus who frequent;whereas ouch;false;false;false;messy whether;until;false;until frank;generously whereas utilisation;shoo fruitful;heavily devoice index;with high depth
ca9c261e-3b2d-4c80-91e7-7016deb7a4e8;true;2024-05-05;emery short-term;well daintily;overflow;hm merrily considering;warlike sweetly;true;true;true;behind bashfully;by until;false;bargain limply;concerning joyfully;waterbed;helplessly;aspire pro depression
b86c0a58-fc5f-489b-8729-3203dc43de7c;true;2024-05-06;compound liberalize kissingly;pish;jumble while;monstrous interestingly boo;serene;true;true;false;throughout crushing inter;carelessly fully;false;over warlock;likewise;pencil outlying;aw;actor
a9cb49db-5a67-42c4-85b4-9cc0e619ec66;true;2024-05-05;courageously phew mosque;relative;automatic forbid;sleepily real via;meh actually loosely;false;true;false;sans pace pro;rendezvous;false;anti;preface;sadly profuse;loyally following;wherever
fac4336c-f3e3-409d-a5c6-8a72fe70c0bf;false;2024-05-05;following;save circa cosh;sensationalise commuter biosphere;whether whose;zowie so;true;false;true;what;of;true;wake unless;except;cosy properly delightfully;sudden besides;upskill
411b962f-689c-4c46-8e1f-36ed51d14a34;false;2024-05-06;forenenst nonstop commonly;dishonest after and;majestic;hm which;lack gracefully;true;false;false;scaly;whenever;true;fiddle;probe oh yuck;bah tabulate down;but all;student
348b392f-dc3d-4a7c-9962-4e3b17ac764c;false;2024-05-05;gah whoever gosh;including;moat;exercise;inasmuch;false;true;false;assured;moth upside-down pump;true;almost seldom;oddball oof;kindheartedly restoration meringue;spew blissfully;but consequently
