id;bronnen;complex;datuminschrijvingregister;gemeentelijkmonumentcode;gezichtscode;naam;omschrijving;opmerkingen;rijksmonumentcode;type
1;ack duh;button;2024-05-05;ack provided debit;since brr why;lest espadrille;bunk yowza possible;worrisome basics;earth obediently;consequently blah
2;democratize but;gosh spring cottage;2024-05-05;soar athwart meaty;mother tattle;round tidy recorder;once unlike acclaimed;phosphate consequently;blaring;segregate however
3;woot whisper fine;unwelcome quarrelsomely pace;2024-05-06;moot unexpectedly zowie;worthless ah;revolutionize boohoo;pfft mostly;direction bulky;phew;droopy ew sniveling
4;score supposing;rarely gurgle;2024-05-05;phooey phooey;highly fully;underneath why masonry;wildly inasmuch layer;formal leap;styling guest;absentmindedly mountainous
5;kneejerk unleash starry;wrought conditioner;2024-05-06;influx text;shoe ha;sardonic ultimate;deliberately warmly gleam;dreamily;until readily bah;checkbook very
6;gah;but;2024-05-06;dimpled fort;um;er cord as;different female;pointed;awkward;calm back
7;french tog nautical;demist throughout dishonest;2024-05-05;unlike canine bereave;surrender into;drat since;lurk off;have for once;mulch wherever;an literate abaft
8;suburban strident phooey;quaintly down;2024-05-06;reinterpret along;ew;confused forenenst versus;opposite accidentally helplessly;furiously;quilt;aha laundry lady
9;while now;anti similar;2024-05-06;thin;gah real prestigious;abaft;elegantly optimal;opposite commission;beside hmph;fooey geez
10;scarce;ferociously rotten;2024-05-06;all;cuddly badly at;smoothly correctly;synchronise;unto lode while;mollycoddle;minus phooey
