id;breedte;folie;hoogte;infiltrerendoppervlak;infiltrerendvermogen;lengte;lozingspunt;oppervlakte;porositeit;streefdiepte;type;typeplus;typeplus_2;typevaarwater;typewaterplant;uitstroomniveau;vaarwegtraject;vorm;waternaam;waterpeil;waterpeilwinter;waterpeilzomer;waterplanten
1;butter hike unto;false;unusual;provided pristine;sinful;whose wholly;before handgun toad;out brake wonderfully;onto;brr yieldingly pug;legitimate not isolate;once letter;likewise;race buoyant;minor for drat;pfft provided yowza;happy canonise out;geez geez mutter;triumphantly;impressionable for;viciously simple;upon abnormally;true
2;despite;false;energetically pack between;cosy doubtfully hm;suet defame;frankly anenst past;when ligand flippant;oh;inside;swerve;excepting huzzah curtail;aha furthermore;ounce aftermath tan;prestigious;yowza;garter printing;sheathe;mysteriously unacceptable;form;assurance up;chill rapidly;gadzooks;false
3;doubtfully so drench;false;zowie underneath;as quantify;jovially boohoo;besides eschew;reach blah carrier;medium likewise aha;past since;humming surprisingly;wordy fooey;ignorant on;crystallize always gosh;oof beret;drat;coarsen oof;about;beneath reproachfully blah;interpose constant green;as;intone burning;whose;true
4;upside-down;false;edge;utilized;trap;er obnoxiously;unlike common forenenst;before careful;ah during;or;regulator;yahoo;napkin;likewise weedkiller;vivaciously sweetly imprisonment;innervation;highland harmony rigid;pish;norm credenza aside;so well-worn yum;commotion onto inwardly;more greatly;false
5;cabbage black fat;false;pish;afore warlike;tempting behave;pro;eek;likewise;knowledgeable sheepishly before;ripe;modulo depress;starchy glamorize high;gently warn immediate;if anesthesiologist;wooden;blah bare;touch mmm regarding;elementary cure;before;physically hour;curdle thoughtful;gosh moth;false
6;footnote implore;true;till pace;icing;matchmaker young hm;provided;hub grave oh;bud;truthfully;whoa lambast;manipulation duh;voluntarily likely the;annually abaft juvenile;since fat embellished;since stained;expensive glimmer hungrily;luminous stimulating handover;gently sorrowful;empty raffle;ack since;spy;withdraw incidentally;true
7;geez;false;under choker sometimes;ouch barrack oof;psst airbag;sunny um;oblong;qua;kindly gnash likewise;less gadzooks transaction;pussyfoot lest truncate;zowie when lark;likewise yum windy;till;brook;tensely mmm besides;boohoo towards;although upliftingly;handle yarn across;soon;curiously adduce;ton modulo glitter;false
8;initialise instead;false;upon margarine if;quizzically mysteriously;barometer;after;tempting ah;coleslaw;unimpressively monumental;besides scraper;toward up;itchy bow;edify;seldom lest flirt;if;yippee starry than;that;modulo;fooey permafrost fooey;ultimately daily pile;versus;bleakly heighten where;false
9;inasmuch ick outstay;true;manner;onion at;commingle tummy curdle;better woot dramatize;fooey;furthermore;worriedly return before;married pish;well;pod prohibit;blazon;phooey instead what;wry subprime;what hmph;perfumed;on of round;fully;supplant;upliftingly;coaxingly yearly lurk;false
10;per brr;true;past;following offend poor;wobbly slip;rightfully bashfully;careless merrily;ratio wherever;especially count emphasis;subject;happily aha;into weekly emblazon;enjoyment;indeed;truly whose;inasmuch openly per;painfully but;insecure;limply forenenst awake;deeply demanding midst;palpitate;psst really oh;false
