id;breedte;cultuurhistorischwaardevol;herplantplicht;oppervlakte;optalud;percentageloofbos;terreindeelsoortnaam;type;typebewerking;typeplus;typeplus_2
1;crunch bah;queasily;true;cultured galley whether;how reference;negative envelope;hence;plus bountiful;modulo ew tuber;eek photography;toward
2;warmly inquisitively fuzzy;step-son overemphasize;true;oh by phew;ethical alongside;woot;unacceptable pfft carburize;if;valid;into longingly hew;to clearly terrific
3;beside rightfully salt;cheap behind angrily;true;or above;chilly;meanwhile player;which adobe;love furthermore;meanwhile gladly;an amid after;toss swath
4;scheduling;er gadzooks;false;alongside gadzooks;openly;inwardly if;an quirkily properly;underneath;barring gab;lowball fruit;er
5;ew frugal pfft;walrus that throughout;false;sardine;grimy couple;within;protrude;untangle void;patiently;inquisitively incidentally;hosepipe shop
6;or yahoo;pluralize gah;false;between;blah shipwreck sensitize;spotless sedately;abaft quicken why;disincentivize;wiggle annually;bleakly yum;deselect upliftingly minus
7;solemnly;canine incomplete boo;true;how produce er;dissent psst but;beside component beyond;jealously;whenever legitimize;or huzzah;fraction talking;undertaker phew
8;eek royal;atop beside foolhardy;false;unnaturally clamor;jovially incidentally;nail tenderly odd;within;unfortunately surmount plug;round;emanate instead utterly;who doctrine
9;more;annually;false;who;rightfully;gawk;how;rise;transformation gadzooks;evince;because magnet though
10;remarkable;peak bah concerning;false;questionably pish;pish hmph deform;blue believe boo;awkwardly accomplished;ah;reset;decent;till
