id;datumopname;definitie;eaguid;herkomst;herkomstdefinitie;indicatieabstract;kwaliteit;naam;populatie;stereotype;toelichting;uniekeaanduiding
82af8772-f158-427c-98c0-13239aa7f327;2024-05-06;inveigle;yum so;overeat;given tank-top;true;patriarch canvass;psst retell;indeed;french like amidst;oof;advertise
7fd81cb9-383a-478a-a3ec-e7b10e7da2bc;2024-05-06;hm meh valiantly;double wrongly inasmuch;psst furthermore curb;pish;false;still incidentally upskill;centre clip;gently ruck vainly;lest pigeon;trumpet linear behind;perception censor
073bace7-ae0f-4cae-a4c6-229fd671614f;2024-05-05;provided pace of;alert;recall quaintly;versus;false;sweaty blah regain;hydrate until;cocoon;nothing chaise boohoo;until violet drat;timber vision
3a5bd2af-df06-49a9-8582-477ae6159e5e;2024-05-06;bravely catch;really;best aboard;tomorrow suddenly;true;laparoscope diligently;if er gadzooks;poorly across caress;absent though yet;afraid nor spare;partner
1dba5003-3af9-460d-9a95-036b31df56e9;2024-05-05;jellyfish;inject fixed instead;beside excepting;greedily;false;pish after;fresh incidentally;ringed phew decontrol;aw;neatly weasel excluding;on judgment or
61f9679e-e46a-47db-93e5-0fdda9d93358;2024-05-06;against;aside for greedy;despite;rampage preen bowler;false;know;zowie;yet;repeatedly polite painfully;though gift;limping bah let
df310a48-0cb4-4abf-9dcf-6ec515bd8ada;2024-05-06;cigarette greatly purr;drapes chargesheet;abaft foresee thoughtfully;needily;true;midst ugh whoa;interferometer limp;lest psst laborer;despite aha;yippee;inside stable beyond
d5f19b8b-5d71-4d65-ae1a-e52fdf2a09a6;2024-05-05;tomorrow expansion mid;warmly what;now so;naturally predetermine;true;ha obnoxiously phew;upward;mutation who fight;circa;safely;definite
552c8e93-2716-4dba-8917-e2e334a6cf1f;2024-05-05;unless fancy;readily while researcher;ensue notwithstanding safely;a;true;freely between uh-huh;even that once;statement surfboard;pause;unusual;choke react duh
4d23e28a-61bd-46ab-b87f-62c2011a3ab5;2024-05-05;conventional before;enforcement;demanding;as;true;silently;ah phew;unlike sympathetic wreck;into theater provided;breach cruelly pish;entry inasmuch abominate
