id;aantaloverspanningen;bedienaar;bedieningstijden;belastingklassenieuw;belastingklasseoud;beweegbaar;doorrijbreedte;draagvermogen;hoofdroute;hoofdvaarroute;maximaaltoelaatbaarvoertuiggewicht;maximaleasbelasting;maximaleoverspanning;statischmoment;type;typeplus;zwaarstevoertuig
1;soggy tip;policy;vice density;pregnancy;yowza;false;questionably frantically;concerning drat;elevation behind worth;aha extremely whether;yahoo phooey plus;giant;courageously likewise;selfishly overjoyed atone;oof reproachfully amidst;misty whether croup;feisty
2;promptly viciously;pace;wander what disconnect;upon;parched geez;false;queasily opposite;how;arctic against unequaled;bitter high-level a;internalize hmph;thunderous ax suddenly;for casserole;experimentation restfully;how;that;consequently mean
3;ricochet instead;pro incidentally horn;soon ah;beneath energetically;till;true;illiterate;gesticulate;until;gently gosh disembark;triumphantly unless duckling;interrelate crossly yet;reproachfully besides capon;extradite almost yahoo;sour;restriction;honestly restfully conquer
4;rename rescue;outplay yet;hence pout however;instead childhood;indent oof rightfully;true;hateful hence and;lightly;busily;than uh-huh;excluding notwithstanding pace;out oxygenate cram;fabulous whenever;unaccountably likewise how;yearningly among amidst;regroup once diffract;truly
5;sharply gadzooks;unnaturally as;now palm quickly;and tidy bather;bah swank city;false;denim;recklessly now;however;earnest but up;pure spectate;oh blah;submissive duh;derail tape;doctor boastfully;hence but cookbook;aha
6;offensively;ack;expansionism consequently;synergy;or that jell;false;mmm boo;fooey;worst;lovable scholarly affect;past never ouch;anxiously uh-huh;boastfully;dual;known colossal;which taste unimpressively;queasily
7;regarding hm;meanwhile unto;valiantly smooch willing;crisp;pup;true;exotic oof;supposing so embarrassed;sensitize besides;anagram zowie investigate;nosedive since indemnify;scarce casket opposite;er through knottily;following whoever till;demystify healthy but;optimistically;awkwardly under ah
8;boo;eek briskly capitalize;dispose face;fearful;darn;true;before onto patiently;subsist;because valuable;pfft;though ensconce enchanting;considering critical wildly;give handmade;forenenst uh-huh afore;frugal big;crisp scrutiny pace;that
9;coyote wherever;pelt but mechanically;wearily whoa against;lest quart hurt;after;false;wisely curiously;tensely hopelessly;sternly;redact;quicker psst;pant;instead fast really;fake despite;hydrogen;compassionate;acrobatic rival aluminum
10;because delightfully;prophet yum foundation;gee;hm;extremely to including;true;harp;but hmph;bah kissingly low;thermals or;after decent;complex fortunately;coin boo skedaddle;brr admirable practice;sweet red recognise;despite inwardly;key
