id;codegebruiker;codescanvoertuig;coordinaten;foto;kenteken;parkeerrecht;tijdstip;transactieid
1;than wombat readily;delete unless drat;suspenders scarcely stock-in-trade;cheap radiant skate;who;false;stagnate till scandalize;reproachfully meh
2;dearest coolly;honest wide furthermore;amongst for;today;instead;true;bulldozer disperse narrow;tensely athwart
3;ack produce;than;old;hmph once buzzing;besides;true;inasmuch metabolite;but worth thoroughly
4;sweat ouch as;after;swiftly infamous terribly;filthy delectable conclusion;kaleidoscopic before;false;irritably;yearly too
5;inside hmph which;solicit hmph camouflage;brr;meaningfully;off unless er;false;sticky robust playfully;poor physical sturgeon
6;deserve;ordinary;down reference;dreamily usually cleverly;smooth;true;sheepishly;icky overburden preset
7;ripe ouch awaken;diamond;rain fantasy;subvert while;excerpt bug;true;whereas;noxious overreact emulate
8;percolate;last;athwart until awkwardly;vice which;because;true;shrilly now funny;jubilantly boo claim
9;upright;pasture but;into willfully while;gleeful;apud potable;true;or modulo;psst dimly
10;scarily bisect;separately;wrench including;shunt enthusiastically;fumbling;true;cymbal;rigidly
