id;brutoinhoudpand;datumbegingeldigheid;datumeinde;datumeindegeldigheid;datumingang;geconstateerd;geometriebovenaanzicht;geometriemaaiveld;geometriepunt;hoogstebouwlaagpand;identificatie;inonderzoek;laagstebouwlaagpand;oorspronkelijkbouwjaar;oppervlakte;relatievehoogteliggingpand;status;statusvoortgangbouw;versie;heeft_vastgoedobject_id
1;or mmm midst;2024-05-05;2024-05-06;2024-05-05;2024-05-06;true;towards locality incarcerate;spotted translate;conduct;when;twittering deadly;false;merrily though next;yuck assimilate sharply;standard gargantuan;bleakly darling;brightly vivaciously eek;miserably eyeliner;dress fondly;1
2;scene;2024-05-05;2024-05-06;2024-05-06;2024-05-06;true;mmm whoever mmm;assistant via gee;ectoderm blackness;double or;where pfft mmm;true;limitation bowed grotesque;er aggression;when;till institutionalize;even;ick sanitize yowza;next;2
3;because;2024-05-05;2024-05-06;2024-05-05;2024-05-06;false;although aw;taut verbally;though grandmom qua;wish lasagna adept;sweetly optimize;false;why;vice traumatic;aboard;personal beyond;cycle amidst;while apud;astride redraw;3
4;since mouser rundown;2024-05-06;2024-05-06;2024-05-06;2024-05-05;false;whoa intently decisive;dynamite debit compliment;guzzle parallel represent;traumatic oh regarding;utterly around phew;true;including;before;philosophise gee;outstanding of crisp;exhausted writer;boohoo failing;effect fooey ah;4
5;before lively restoration;2024-05-05;2024-05-06;2024-05-05;2024-05-05;true;devil;psst;boldly humour who;importune about meh;um;false;gosh;once full;spicy;evacuate black-and-white at;freely quirky joyously;by;indeed discontinue wretched;5
6;occasional;2024-05-05;2024-05-05;2024-05-05;2024-05-06;true;yet trove;times subsidence;waltz truly;arraign;fooey amidst;true;than blossom;constant abolish boohoo;whose;when;following;now indeed earnest;tidy propagandise whenever;6
7;circa;2024-05-06;2024-05-06;2024-05-06;2024-05-05;false;tempo;nicely ew ah;unless;alarmed in annually;lest how;false;than;analytics gadzooks;afore patrolling tabernacle;painfully ick fortunately;phew merrily;flume;oil;7
8;nautical mysteriously at;2024-05-06;2024-05-05;2024-05-06;2024-05-06;true;pace aha;until initiative;unless throughout zowie;unfolded ah;as than;false;oh;furthermore;after;remove;whoa;honest relaunch blemish;circa mystify triumphantly;8
9;warmly chubby;2024-05-06;2024-05-05;2024-05-05;2024-05-05;true;accompanist;remind disposer acidly;editing before;second disafforest;famously;false;ignorant;while belated uneven;pish pace radish;crib prefigure;grim since without;validate ferociously brr;gadzooks uncommon cursor;9
10;even even technique;2024-05-05;2024-05-06;2024-05-06;2024-05-05;false;gee except;blah against bedroom;on;faithfully uneven;pinkie wombat;false;vacantly solidly;shackle;printer;elegantly pro;frankly since huge;switchboard hence;gracefully;10
