id;datumbegingeldigheidwegdeel;datumeindegeldigheidwegdeel;functiewegdeel;fysiekvoorkomenwegdeel;geometriewegdeel;identificatiewegdeel;kruinlijngeometriewegdeel;lod_0_geometriewegdeel;plusfunctiewegdeel;plusfysiekvoorkomenwegdeel;relatievehoogteliggingwegdeel;statuswegdeel;wegdeeloptalud
1;2024-05-06;2024-05-05;hypnotize;tag weakly listing;yum intrepid peppery;huzzah swipe lick;meh questionnaire easy-going;attractive ha;congressperson given show-stopper;what;faithfully;than rock for;incidentally advocate
2;2024-05-05;2024-05-06;dirndl;refine suspicious gosh;cloak execute;fuel;what;refrigerator;within rapidly wrongly;oh rosy;weird impossible wrathful;before offbeat;tender stance
3;2024-05-05;2024-05-06;pneumonia before;uselessly since rusty;madden evince;than unfold;backburn ha achieve;eek aw;safe toggle generally;fast gosh;guilder among consequently;while;consequently
4;2024-05-05;2024-05-06;phew with;ah;hm whereas abaft;zowie dental meanwhile;helpfully pair yuck;into;supposing optimal failing;spoof brilliant;failing;well plump;phew
5;2024-05-05;2024-05-06;when;gratefully retest;because goose correctly;qua yuck famously;modulo;regarding;nor;bilk infuse unless;intuition;amongst respectful;chair
6;2024-05-05;2024-05-05;milky flood meh;warped;scenery border civilisation;really diligently;amplify once;questioningly striking;cleverly;whose yahoo by;frenetically;department sunbeam;via paltry gosh
7;2024-05-06;2024-05-05;ha lest;until;cumbersome laryngitis acidly;indeed;meanwhile;bath;blah while connotation;for marinate;astonishing pesky icon;tenderly;ouch
8;2024-05-06;2024-05-05;ruins hence until;of since since;rapidly without;mesmerize chateau pro;sympathetic until close;past;amid aged blah;how pro since;um alongside unhealthy;around meh;whisker likewise
9;2024-05-05;2024-05-06;suspiciously;minion for highly;amortise off angrily;following;whereas sheepishly unless;er relative wisely;why pfft slice;quietly rasterise;skate good-natured affectionate;from intrepid;drip quirkily bah
10;2024-05-06;2024-05-06;aha ashamed;inasmuch meh;torso;lively;chronicle;above;boohoo ferociously;aboard sadness;formulate;apropos for before;with dizzy
