id;bedrag;datumbeginbetrekkingop;datumeindebetrekkingop;debetcredit;groep;groepcode;grootboekcode;grootboekomschrijving;kostenplaats;omschrijving;rekeningnummer;toelichting
1;helplessly cc vivaciously;2024-05-05;2024-05-05;levitate;that inasmuch;boohoo;vigilant or;choir allocate until;envision shyly;towards amongst;colt;drat because
2;meanwhile;2024-05-05;2024-05-06;maelstrom rosy for;a;swath;darling ambitious noisily;ah spinach so;before;yuck;downright;because above ha
3;unequaled so reformat;2024-05-05;2024-05-05;that why ew;celebrated mop;knobby too;closely mid bean;giddy whip;ah ah after;an refrigerate;positively ha;against mmm
4;realistic;2024-05-05;2024-05-05;anxiously diligently ambience;midst clavicle while;yum er;likewise light;blissfully yippee;beautifully prestigious;next gee afore;phooey;dab if
5;unexpectedly mobster;2024-05-06;2024-05-06;swing calculating;nicely;dramatize protest cl;stormy;brr;aquarium laud;cheerfully;often;indeed dreary gen
6;shrill;2024-05-05;2024-05-05;gloomy shepherd woot;weak laze;purify aside drat;jeer;fatally even frosty;amid yahoo;towards honestly finally;when with worthwhile;consequently oppress deconsecrate
7;understated;2024-05-06;2024-05-06;burdensome starry abandoned;avaricious irradiate;buck;yum;brilliant moai;lampoon;since mid;on woefully;ha between that
8;vainly subcomponent;2024-05-06;2024-05-06;up;incidentally alongside formal;boohoo dob brr;moment;generous;coaxingly jealously;luxurious handball;alongside;sociable
9;slow hmph;2024-05-05;2024-05-05;capital;play;yum if;extemporise safely;reskill where geez;silent;ugh adored finally;untrue above;search dangerous league
10;though yahoo;2024-05-06;2024-05-05;wisely eek;rough or;elver bah;united;bitterly implant;truthfully er warm;yum gossip;excepting pleasing;squander intently
