id;besluit;besluitidentificatie;besluittoelichting;datumbesluit;datumpublicatie;datumstart;datumuiterlijkereactie;datumverval;datumverzending;redenverval
1;gah;neatly bah;potentially enrage;through worriedly;afterlife patiently;before er nor;coordinate yuck;gripper after er;strange gosh silently;enrol
2;palace scarily sermonise;hence okay thoroughly;yippee house underneath;single psst nervously;nor;distant how;where;executive although;whereas vibrissae regarding;aside huzzah how
3;aboard decrease ideal;clearly drat;giant calmly though;ideal cycle;bah;whereas ack so;welcome;spanish;stained phooey rethink;hence
4;aspirate phew excepting;ugh;yum century inside;consequently psst yahoo;firsthand;nearly;upward brownie;ruffle;versus behind failing;woefully
5;before frantically inhabitant;yet bitterly partially;mmm aside;where;upwardly following mmm;humming finally;quicker;charming term;mild openly beside;via appreciation
6;expatiate since bumpy;safely boohoo;restfully pin;government paramecium mint;ouch pasteurize macrofauna;abaft absent structure;ew digital temporariness;indeed install swerve;safely regale off;above
7;serious now;phew selfish;pfft;humble;lest question shirt;square over pfft;piano successfully when;until;dis;consignment lest gosh
8;than anxiously into;per ouch;blah between;bite-sized cannibal sternly;noisily doff;phooey;despite indeed yahoo;than er inherit;forenenst duh yahoo;worth
9;given an meanwhile;meh enlighten;gosh;daffodil inspect after;mobility extremely;till zowie peanut;kookily optimal;whoa;grunt scarily;bah
10;unabashedly drat;against among;terribly before;unnatural;knottily;vaccinate plus once;sans;cheerful likely;outside palliate;lest hoick arrogantly
