id;datum;key;keyvulling;omschrijving;omstandigheden;projectcd;putnummer;spoornummer;vlaknummer;vondstnummer;vullingnummer;xcoordinaat;ycoordinaat
1;2024-05-06;flood;beautifully phooey instance;as pace minus;for;gratefully;suburb;bank forenenst;hence cooperation gr;riposte athwart;boohoo;bird-watcher;unripe mean
2;2024-05-06;sack;speedily;past staff slap;dusk taste functional;colorfully metaphor ;absentmindedly afore;promptly zebra unhea;damp;consequently apud ya;settle yahoo violet;rigidly around few;rake
3;2024-05-06;false boo painfully;hasty excepting merrily;pace;costly girdle gosh;furthermore cute;that centre psst;or long if;whose than ah;hm;scuttle;rye architect;fair fatally
4;2024-05-05;highly far-flung;useful subsidy;stealthily charlatan cross-contamination;inasmuch elucidate;opportunity broadly;although pledge;versus diagram sidec;where ack commonly;incidentally boohoo;tensely;on;shocking
5;2024-05-06;joshingly fully;savior;jubilantly across;eek when;expression soggy kee;bathe nutty;chilly despite once;yum bond;wraparound judgement;furthermore;pickaxe now;limp
6;2024-05-05;mould;near slander brr;likewise;lyocell when brr;worth;unwieldy;yuck over;zowie vice astride;alter;upon;frankly whenever rundown;since
7;2024-05-05;moccasins commission once;section bog aw;different;via;unfolded;through;absent off whenever;whisk exert;without;heavy fame voluntari;than;fulfil violently whether
8;2024-05-05;frantically off-ramp idle;highly;rudely happy-go-lucky;gadzooks bagpipe annual;including hasty unwe;tease gah pace;eve after;incidentally yowza m;failing despite why;knowingly;actor;out pump
9;2024-05-06;mayor affirm brr;envisage creosote;ferociously enormously;incision smear what;beyond append wobbly;brr justly viciously;hm eligibility zowie;crate a dimple;below;since;audit uselessly itch;mid-course
10;2024-05-05;in psst nor;politely synchronise for;campaigning than;plus concerning the;inasmuch gee;falsify consequently;uh-huh red hm;instead specific vul;endorse thankfully i;attain measly solici;mmm drat blogger;loose
