id;datumbegingeldigheid;datumeinde;datumeindegeldigheid;datumingang;geconstateerd;geometrie;identificatie;inonderzoek;status;versie;woonplaatsnaam;woonplaatsnaamnen
1;2024-05-06;2024-05-05;2024-05-05;2024-05-05;true;chateau astride mad;behind sympathetically;false;spellcheck perfectly;amongst;hitch an athwart;silica kindheartedly
2;2024-05-05;2024-05-05;2024-05-06;2024-05-06;true;meanwhile yuck;chilly indeed excursion;true;although neatly;oh beside blank;zigzag internationalise now;yawning austere
3;2024-05-05;2024-05-05;2024-05-06;2024-05-05;true;exactly vellum;cheetah;true;psst supposing for;excitedly before giving;after masquerade;how
4;2024-05-06;2024-05-06;2024-05-06;2024-05-06;true;grout;fall picnic;true;concede below chapel;mortally honestly;grin of;colonize
5;2024-05-06;2024-05-06;2024-05-05;2024-05-05;false;imperil sure-footed;primp more;false;weary drat;cleverly reprint minus;double gee;than tire
6;2024-05-05;2024-05-06;2024-05-06;2024-05-05;true;whereas;ouch;false;midst;beancurd than naturally;softly;besides
7;2024-05-05;2024-05-06;2024-05-06;2024-05-05;false;engorge;given shadowy;false;lot;until communist;lest earplug helplessly;pence wetly so
8;2024-05-05;2024-05-05;2024-05-05;2024-05-06;true;cue pacemaker;vacation luxurious;true;pish year;fishing nearly inasmuch;conform abaft;obsession scallops
9;2024-05-05;2024-05-05;2024-05-05;2024-05-06;true;gee why ouch;separate;false;athwart;stealthily poor;bitterly;betide distinct pfft
10;2024-05-06;2024-05-05;2024-05-06;2024-05-06;true;violent outface;in;true;so peaceful rupture;pfft what for;entrench wicked penny;pfft what
