id;grondsoort;key;keyspoor;kleur;projectcd;putnummer;spoornummer;structuur;vlaknummer;vullingnummer
1;broadly phooey loose;drat oh sidewalk;out;through;nocturnal scarcely b;methane;aw mustache about;jealously vine past;incidentally;artificer besides
2;since wherever;indeed scarcely unless;weakly injure;after excitable step-grandmother;ew gosh;whenever likewise furthermore;pish measure though;kindly shakily vise;where after endear;weary however repose
3;fourths song fooey;powerfully ruin parallel;for decimal;flex;vivo ick;spurt down gaseous;lazily outpace;monthly except;mid bah;reproachfully failur
4;fervently clearly although;if garage;who tender root;caucus;pish grin;marxism statute;along naturally;before;legitimise a;geez
5;midst yearningly phew;whereas;yahoo readily;save blaring whose;about;shanty;yippee meh worthwhil;midst criminalize;drat seep unimpressi;aside brr
6;apud kindly;gadzooks;plugin with as;of;loving;to;yum ladle;who silt hinder;zowie after;whoa register preocc
7;warmly;after minus heave;drat;phooey amid alongside;so harmless whoever;plaintiff;tenderly concerning;camouflage;measly railroad;pace aboard
8;around berry justly;however tedious ideal;pale;geek roughly that;powerfully;heartfelt app;with wearily whereas;so qua;behind;dimly
9;discovery;madden attentive partially;compensation resort;meanwhile while male;spool clearly;bidder;jagged starry throug;corny gadzooks;normal buddy gadzook;shy
10;round liquid cold;psst loudly fairly;before;plier woot how;why rumble;gosh questionably;frenetically;puzzled whenever tempo;chat;vice ex-wife encumbe
